t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,56000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125937,5.499689668697213e6,255.72405742214963,111.56592114622043,2.4999501838990245e6,60.62328381766261,12799.85657538645,0.447520331958996,-3.235864993185146e-20,26399.97887037102,0.24537389642947913,1.2755984397931787e-6,41.265427235922736,5.499999934859209e8,5.801705672874169,0.6736609238015498,1.20000000252956e6,0.0,55999.999621982075,26399.99999789096,1.8927193585429924e-6,2.846372108468311e-20,0.0003766494389656367,4.314069041895105e-51,47999.999995725106,4.215336024485438e-6,1.857793928596559e-12,2.161900560066387e-12,2.0049222710825433e-12,400000.0,2.2318537979956447e-18,3.8820669320332315e-15,4.451899803976861e-9,8.016282276898781e-7,7.645943250892304e-23
1.0,1663.577019825815,5.499369564283586e6,468.3433591245639,346.4920079455517,2.499886783826088e6,129.037371900089,12799.447126100747,1.7133236356835015,0.0011519285994449023,26399.918548191246,0.9172832789179963,9.35574988449194e-6,96.92502711776386,5.499999736745181e8,21.24399033920807,4.52259596276241,1.2000000060385463e6,0.003891942188497697,55999.99163025556,26399.999855692404,0.00012910203378040284,3.430637717833843e-6,0.009546921673052843,2.576672386765463e-9,47999.99977763969,0.0002161102422340681,1.9450467529756658e-10,2.2574773279808612e-10,2.090813745585076e-10,400000.0,2.547302196579667e-15,1.0317321089789814e-12,1.4426912041630949e-7,9.892058255495283e-6,7.449508836026864e-9
1.5,3582.7349835075033,5.498707042507206e6,943.1760452405211,768.0283156588495,2.499757458359295e6,268.7220906133649,12798.600250882806,4.315124608112425,0.008579401906812556,26399.793776467635,2.2697415841011015,3.1820582889585906e-5,228.0958980756694,5.499999274964547e8,54.99836472511575,14.832371588747394,1.1999999838727508e6,0.03985069183262698,55999.98356855693,26399.99844576013,0.0013860762535559228,0.0003924644323470692,0.06129784559008722,3.6705407504321896e-7,47999.99784745151,0.0020621601419528674,2.806995412167987e-9,3.2492342640698795e-9,3.005386018121522e-9,400000.0,2.645414710469551e-13,3.575411399847279e-11,1.0167137552191922e-6,4.2762023495742605e-5,2.316989531977346e-7
2.0,7715.335983352906,5.497254560701088e6,2006.0219378621653,1640.7619493431685,2.4994783340149065e6,572.2449294549411,12796.811892851196,9.7952659767161,0.029572276124330443,26399.530269048908,5.096461568821823,8.376164503658818e-5,534.644051488555,5.499998187506232e8,133.0263601272161,39.49322513275962,1.1999999304439067e6,0.12036553354084875,55999.978619860754,26399.991692096686,0.007386509608096392,0.0028043060473471938,0.2367087905075049,6.021401843040225e-6,47999.989126181354,0.010276496979705828,1.851206918768237e-8,2.137316983468118e-8,1.9743833398522564e-8,400000.0,1.0973580088518217e-11,5.318730888887228e-10,4.11194424834077e-6,0.0001299656138145036,9.73175727567664e-7
2.5,16526.684626329214,5.494130472485225e6,4294.250166067026,3506.8644544253502,2.498880523021533e6,1223.306728103593,12792.994033497262,21.48264452943538,0.07865592047617107,26398.967607968127,11.110020197123013,0.00019800201749928915,1225.9459420690969,5.49999567047227e8,311.83419778537547,97.04031227558691,1.1999998055579544e6,0.3035726692829748,55999.94559203507,26399.968700306534,0.027751194456183178,0.01043168195465053,0.7197076189268463,4.273860698962061e-5,47999.96033762005,0.037029553293734856,8.144418731110833e-8,9.380300156620926e-8,8.654819221154608e-8,399999.99999999977,2.632158647500688e-10,4.952611879386992e-9,1.2803699238534827e-5,0.00034115608998205437,2.746726166744083e-6
3.0,35361.65224500994,5.487449571292896e6,9184.370853328519,7500.552554669107,2.4976060085892696e6,2611.87087013175,12784.842236330163,46.42561221133867,0.18730969594291322,26397.765704751066,23.935529663294528,0.00044499643240288685,2760.8315608563626,5.499989961126423e8,714.2446138670277,228.76446924027292,1.1999995075628327e6,0.7280193911365287,55999.83001543442,26399.903109876348,0.08570006395092739,0.030236878170793697,1.9290597639817004,0.00019715866055260536,47999.87956330877,0.11127839506818403,2.8286079179141305e-7,3.2506633247940733e-7,2.9960078543490954e-7,399999.9999999954,4.608895556327601e-9,3.575833264719194e-8,3.476673374683652e-5,0.000834293087497428,6.878160152216902e-6
3.5,75624.67872034565,5.473192980542707e6,19614.004520876988,16032.860031679478,2.4949016082283715e6,5559.32587758264,12767.486673471785,99.51602100239923,0.42301616923048346,26395.204417384994,51.24311391837425,0.0009748760407431417,6138.474576355991,5.49997720180172e8,1608.126500433268,525.3657899296277,1.1999988134182398e6,1.6947161747263677,55999.51897941632,26399.733499547987,0.23526515119646185,0.07817906970199644,4.8091559330876334,0.0007071435303024758,47999.672654410606,0.2998860373310145,8.47181728013718e-7,9.71712129519227e-7,8.947431581514526e-7,399999.9999999333,6.69934723725218e-8,2.2280937779528359e-7,8.733901418800107e-5,0.0019604210518206723,1.63856810872229e-5
4.0,161569.64085682592,5.442877286157969e6,41773.716235860804,34216.067959269465,2.489217756311355e6,11757.918790241,12730.759966089667,211.83485992188844,0.9294218713339233,26389.773683425443,109.09626358868591,0.0021055172581245065,13520.604251855324,5.499948990580518e8,3575.488299510753,1184.907666947505,1.1999972331127727e6,3.860546667606747,55998.7569126315,26399.31990631126,0.5995263955699408,0.19019602818106576,11.462638601060087,0.002166368714312706,47999.17097877461,0.7543645023409098,2.302565686357118e-6,2.636696046218622e-6,2.4259020049312653e-6,399999.99999913713,8.663705761934296e-7,1.266370268761147e-6,0.00020918788997997164,0.004491038804010053,3.790855117000376e-5
4.5,344439.967864122,5.378895562248732e6,88462.66569166275,72771.24216798291,2.477507425867078e6,24544.582953255438,12654.014687096458,446.4531380681336,2.010101145433636,26378.378203014006,230.33494096847267,0.00450181156582903,29558.970178547646,5.499887124030778e8,7874.546111319079,2637.697456029689,1.1999936915831661e6,8.65722308030652,55996.973463247006,26398.348760377725,1.454440853181681,0.4459636937692455,26.519738816569962,0.005984800574142448,47997.99712570652,1.8131013868501786,5.859141338317919e-6,6.700225024614508e-6,6.160483387580721e-6,399999.99998968106,1.0360677590445855e-5,6.768569097732007e-6,0.00048557875442281227,0.010110097495039237,8.595956838695562e-5
