t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,7000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082702785298,5.499689668696525e6,255.7240580662523,111.56592123502467,2.4999501838989253e6,60.623283945984255,11199.87450346306,0.3915802907336893,-2.5838930335472437e-20,23099.981511574646,0.21470215952578364,1.116148635148365e-6,41.26542732164056,5.49999993485921e8,5.801705677092036,0.6736609240121132,1.2000000025295592e6,0.0,6999.999952747758,23099.999999769323,1.8401438211397043e-7,3.0747846896736606e-22,4.7081179874807125e-5,1.559789695814881e-51,41999.99999953245,4.6105237799981155e-7,2.0319621102376293e-13,2.364578738545397e-13,2.1928837348991158e-13,400000.0,1.928762546615123e-19,3.774231745553862e-16,5.564874755337316e-10,8.016282278180772e-7,6.6076052916785516e-24
1.0,1663.5772078388927,5.499369564259509e6,468.34338059425914,346.4920183348348,2.499886783822467e6,129.03737646793905,11199.51623533257,1.4991581987127593,0.0010079375248094667,23099.92872966656,0.8026228786915829,8.18628118905672e-6,96.92503019633462,5.499999736745174e8,21.243990603872934,4.522595987150073,1.2000000064818584e6,0.0034595041676198047,6999.998920989344,23099.999984216436,1.2551530306021744e-5,3.8118196765462197e-7,0.0011933652097257852,2.5050981540681606e-10,41999.99997567929,2.3637058174953333e-5,2.1273949089809574e-11,2.469115854125504e-11,2.2868275589368807e-11,400000.0,2.201976423449643e-16,1.0038587905780198e-13,1.8033260459628407e-8,9.89205828294737e-6,6.621785631953042e-9
1.5,3582.7369122786145,5.498707042209915e6,943.1763035203084,768.0285412229046,2.4997574583134265e6,268.72214761882196,11198.77521943227,3.7757343133841235,0.007506976704674132,23099.819554395934,1.9860240400545428,2.7843010886692136e-5,228.09593705535116,5.499999274964497e8,54.998368917148774,14.832372095994371,1.1999999886934608e6,0.035422837282023625,6999.9967460666585,23099.999830061643,0.0001347121964206841,4.360715506607385e-5,0.007662230235377544,3.5685779021645575e-8,41999.99976456485,0.0002255487869887567,3.0701514158663313e-10,3.5538501896674315e-10,3.287141154915086e-10,400000.0,2.3133435853298682e-14,3.5281251062704675e-12,1.2701011770424897e-7,4.2762024250352074e-5,2.0595462531196997e-7
2.0,7715.3501087094655,5.497254558246158e6,2006.0240318038927,1640.7640501582473,2.499478333629246e6,572.2454034805188,11197.210405366273,8.570860465288881,0.02587574238781563,23099.58898528838,4.459405362723488,7.32914492904467e-5,534.6443815888707,5.499998187505761e8,133.02640073661428,39.49323098006369,1.1999999456852525e6,0.10699158825272366,6999.991552124612,23099.999092140286,0.0007174823872555753,0.0003115894236979402,0.02958858832506127,5.853113218785198e-7,41999.99881067412,0.0011239922024256473,2.024757947891336e-9,2.3376908915567445e-9,2.159482185973313e-9,400000.0,9.677622797672887e-13,5.2823895343280256e-11,5.133509488148684e-7,0.00012996562394490215,8.650451017885708e-7
2.5,16526.769419413486,5.494130456525042e6,4294.263590897465,3506.87834429063,2.4988805204821345e6,1223.309822543219,11193.86977289218,18.797333923612168,0.06882393942503066,23099.096656026173,9.72127850174148,0.00017325184662529225,1225.9481463186783,5.499995670468773e8,311.83449530472296,97.04036177534167,1.199999845023081e6,0.26984240921082875,6999.975281454854,23099.996581051466,0.0026944903824196744,0.001159074242977924,0.08996334889167551,4.1525242619875086e-6,41999.99566190928,0.0040501110886532465,8.90796266733072e-9,1.0259708713097618e-8,9.466213533087721e-9,400000.0,2.3244014594299374e-11,4.919712542514935e-10,1.5979581921442033e-6,0.000341156184717411,2.4415345223338563e-6
3.0,35362.106491788116,5.487449481427539e6,9184.445700587854,7500.630413317975,2.4976059942038907e6,2611.888294850487,11186.736917703241,40.622532124281506,0.16389605831249904,23098.04498589271,20.943654158594402,0.00038937241826040995,2760.8443197034617,5.499989961104608e8,714.2464467303125,228.76481508418604,1.1999996035585413e6,0.6471286598496593,6999.9312124590515,23099.989418799327,0.008319073048239643,0.0033596417045635906,0.2411317359293554,1.9147964997417327e-5,41999.98682710595,0.01217110548707772,3.0937942581092094e-8,3.555418039068954e-8,3.276888238545731e-8,399999.99999999965,4.06616176632842e-10,3.5476415120464356e-9,4.3384257222717245e-6,0.0008342937963400578,6.113921384679564e-6
3.5,75626.95544820942,5.473192516785156e6,19614.388188722114,16033.259263304997,2.494901534214532e6,5559.4152354785765,11171.55062772699,87.07717518589652,0.37013964308291475,23095.80383397064,44.83807955937645,0.0008530196479075784,6138.542302424229,5.499977201679907e8,1608.136637131903,525.367922449051,1.199999038795899e6,1.5064164943156297,6999.822595221102,23099.97089903198,0.022834745722794682,0.008686491419030974,0.6011400371302045,6.865713456512585e-5,41999.964195741806,0.03280025410866793,9.266083375112048e-8,1.0628139804820268e-7,9.786288767121364e-8,399999.99999999424,5.903183501426747e-9,2.2078348777537824e-8,1.0897963145092716e-5,0.001960425626451349,1.456505568335008e-5
4.0,161580.59862667066,5.442875022336757e6,41775.58039716831,34218.0112776279,2.4892174012476504e6,11758.347373004026,11139.413915360812,185.35877562754104,0.8132469951346949,23091.051816791845,95.46100030370056,0.0018423438932017523,13520.94487208182,5.499948989946624e8,3575.5406816445593,1184.9197583026312,1.1999977494790882e6,3.431609474832955,6999.567165955007,23099.92573758877,0.05818578573228869,0.021132474075314506,1.432805057540367,0.00021029511123577473,41999.90932095256,0.08250998251706683,2.5184532739227854e-7,2.8839117649912987e-7,2.653353841890049e-7,399999.9999999242,7.626520971132137e-8,1.2537087068660257e-7,2.61007483448596e-5,0.004491065426641774,3.3696480114519034e-5
4.5,344491.3068411872,5.378884951421281e6,88471.37141051644,72780.38549063068,2.4775058319610604e6,24546.514749228503,11072.257937756553,390.6617318392114,1.758853462960819,23081.080196015362,201.55134225415063,0.003939164472099196,29560.623708834708,5.499887120880201e8,7874.805174007437,2637.762132238555,1.1999948542990189e6,7.6953762102978915,6998.982997720921,23099.819680856395,0.14115302362975318,0.049549153565619695,3.3148367471093145,0.0005808936208776344,41999.78090916636,0.19831578394581592,6.408568219654943e-7,7.328523884196087e-7,6.738169788958997e-7,399999.99999909254,9.11399217264729e-7,6.696656350336938e-7,6.0583781943230034e-5,0.01011024055313578,7.6407879745656e-5
