t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125934,5.499689668697214e6,255.72405742214957,111.56592114622039,2.4999501838990217e6,60.623283817662504,12799.856575386468,0.4475203319589959,1.6734470999126545e-20,26399.97887037103,0.2453738964294788,1.275598439793177e-6,41.265427235902195,5.499999934859214e8,5.8017056728735525,0.6736609238015301,1.2000000025295592e6,0.0,79999.99945997437,26399.999996987066,2.703884797731029e-6,5.808922670266026e-20,0.0005380706270937645,-3.9862584778852593e-50,47999.99999389299,6.021908604502873e-6,2.65399132607495e-12,3.0884293709508253e-12,2.864174672443795e-12,400000.0,3.18836256847103e-18,5.545809902654954e-15,6.359856862824069e-9,8.016282276898703e-7,1.0922776072484074e-22
1.0,1663.577019825863,5.499369564283586e6,468.34335912457556,346.4920079455637,2.4998867838260853e6,129.03737190009252,12799.447126100777,1.7133236356835737,0.001151928599445048,26399.91854819129,0.9172832789180317,9.355749884492486e-6,96.92502710835896,5.499999736745181e8,21.24399033867479,4.522595962728557,1.2000000060385463e6,0.0038919421884984853,79999.9880432222,26399.999793846284,0.00018443147629812213,4.900911025550438e-6,0.013638459532920897,3.6809605523767362e-9,47999.99968234239,0.00030872891482012235,2.7786382045356145e-10,3.2249675951191563e-10,2.986876764312441e-10,400000.0,3.639003132775221e-15,1.4739030098194476e-12,2.060987434517537e-7,9.89205825546987e-6,7.449508836097612e-9
1.5,3582.734983507473,5.498707042507208e6,943.1760452405134,768.0283156588431,2.4997574583592922e6,268.72209061336235,12798.600250882835,4.31512460811239,0.008579401906812407,26399.793776467675,2.269741584101079,3.182058288958551e-5,228.0958976386989,5.499999274964548e8,54.998364691090025,14.832371584800468,1.199999983872751e6,0.039850691832568064,79999.97652650987,26399.997779657384,0.0019801088847576794,0.0005606634747941973,0.0875683508401854,5.243629634855522e-7,47999.996924930885,0.0029459428867669407,4.009993308810672e-9,4.641763075158344e-9,4.2934084498194284e-9,400000.0,3.779163820644843e-13,5.1077304822636736e-11,1.452448221707471e-6,4.276202349170292e-5,2.3169895320669648e-7
2.0,7715.335983352875,5.49725456070109e6,2006.0219378621578,1640.761949343162,2.4994783340149038e6,572.2449294549381,12796.811892851223,9.795265976716069,0.02957227612433031,26399.530269048948,5.096461568821801,8.376164503658776e-5,534.6440431532511,5.499998187506241e8,133.02635933440004,39.493224985987794,1.1999999304439067e6,0.12036553352864407,79999.96945694408,26399.988131568054,0.010552155355767588,0.004006151496925501,0.3381554148467882,8.602002512691664e-6,47999.98446597697,0.014680706468468127,2.6445809500226874e-8,3.053309556151217e-8,2.82054723938243e-8,400000.0,1.5676541855044157e-11,7.59818633489903e-10,5.87420606686953e-6,0.00012996561362814838,9.73175727976594e-7
2.5,16526.684626329323,5.4941304724852275e6,4294.250166067056,3506.864454425374,2.4988805230215304e6,1223.3067281035994,12792.994033497287,21.482644529435532,0.07865592047617183,26398.967607968163,11.110020197123086,0.0001980020174992905,1225.9458437563646,5.499995670472392e8,311.83418703508784,97.04030959811055,1.1999998055579504e6,0.30357266880419137,79999.92227433961,26399.95528617023,0.03964454740464325,0.014902402812950398,1.0281537370312663,6.105514886578431e-5,47999.94333949864,0.05289932197408605,1.1634878949159031e-7,1.3400423061847884e-7,1.2364022155431577e-7,399999.9999999997,3.7602255461123795e-10,7.075157537466276e-9,1.8290998851244025e-5,0.00034115608597217216,2.746726176922463e-6
3.0,35361.65224500979,5.487449571292897e6,9184.370853328479,7500.552554669077,2.4976060085892673e6,2611.8708701317364,12784.84223633019,46.4256122113385,0.1873096959429126,26397.765704751087,23.935529663294428,0.0004449964324028847,2760.8306944919304,5.499989961127628e8,714.2445091777197,228.76443783094936,1.199999507562795e6,0.7280193824161374,79999.75716496215,26399.861585702543,0.12242851575198967,0.043195540656283476,2.755799596659268,0.0002816551661112606,47999.82794792972,0.1589688050198677,4.040863796352173e-7,4.6437993635721016e-7,4.2800062410862653e-7,399999.9999999934,6.584130014028644e-9,5.108327929073803e-8,4.9666761515894175e-5,0.0008342930345293447,6.8781603395379505e-6
3.5,75624.67872034988,5.473192980542706e6,19614.004520878083,16032.860031680371,2.4949016082283687e6,5559.325877582944,12767.486673471809,99.51602100240488,0.4230161692305057,26395.204417385015,51.2431139183771,0.0009748760407431969,6138.468251089465,5.499977201811324e8,1608.1256784200637,525.365512033513,1.1999988134179795e6,1.6947160725652373,79999.31282831171,26399.619286281024,0.3360919929676166,0.11168439209531336,6.870222045892637,0.0010102043820921778,47999.53236583102,0.428406349882035,1.2102561170736966e-6,1.3881561479330953e-6,1.278200781079081e-6,399999.99999990466,9.570467663483595e-8,3.1829816262890676e-7,0.00012477000938007537,0.0019604205439974617,1.6385684022547723e-5
4.0,161569.6408568284,5.442877286157969e6,41773.716235861444,34216.067959269996,2.4892177563113524e6,11757.918790241169,12730.75996608969,211.83485992189193,0.9294218713339312,26389.773683425465,109.09626358868759,0.0021055172581245394,13520.563588694069,5.499948990646371e8,3575.4827226564707,1184.905627904923,1.199997233111225e6,3.8605457611549148,79998.22416551097,26399.028445351414,0.856459365766155,0.2717087107799616,16.375191955166677,0.003094807103841097,47998.81569859385,1.0776496737790735,3.289356852088248e-6,3.766682430693866e-6,3.4655500843053567e-6,399999.9999987671,1.2376621116688042e-6,1.8090860828452665e-6,0.0002988397493661363,0.004491034905134825,3.790859220379917e-5
4.5,344439.9678641251,5.378895562248731e6,88462.66569166353,72771.24216798357,2.4775074258670756e6,24544.582953255627,12654.014687096482,446.4531380681379,2.0101011454336435,26378.378203014036,230.33494096847463,0.00450181156582907,29558.73107344551,5.499887124437481e8,7874.511958568024,2637.6842943565757,1.199993691574875e6,8.65721639193167,79995.67640651898,26397.64113156782,2.07773229188574,0.6370922976363079,37.885298654473104,0.008549678475129847,47997.13883379981,2.5900663300306155,8.370067943195267e-6,9.571595454551623e-6,8.800547798642734e-6,399999.99998525885,1.480065254678637e-5,9.6691930457852e-6,0.0006936832750998676,0.010110072199600315,8.596009122902356e-5
5.0,730919.4041185839,5.2459948069372345e6,185091.25433639812,153654.67713480367,2.454321084413485e6,49922.87939588739,12497.671949902218,924.0740189862955,4.297565195014556,26354.963266416995,478.8331227864052,0.00952025578947565,64191.65486912961,5.499752389654481e8,17209.459398770996,5813.597758557309,1.199985840910068e6,19.190663418004803,79989.904044777,26394.46849595252,4.872538609483106,1.45785831232146,85.82297643870137,0.022018070168474548,47993.31136375678,6.0322620181665565,2.0340519191682727e-5,2.3234483194852797e-5,2.1351286041945277e-5,399999.99983338645,0.00016730157536936298,4.944081129214175e-5,0.0015752408382774341,0.02247243728280648,0.0001921374329809408
5.5,1.536213804421739e6,4.978988413753172e6,377710.51775754656,319585.0831308171,2.4116826637199107e6,96790.35147479767,12194.220305426676,1849.8204982367579,9.071761954682362,26308.727071066212,967.1385940949779,0.019796496785966736,138400.23932470204,5.499460965469434e8,37343.774025816754,12709.148859222196,1.199968572665131e6,42.16380120452632,79977.23818382902,26387.36114456997,11.150546944555325,3.279752680741475,191.28274180019156,0.0539900617217721,47984.73966634443,13.731205352767368,4.782160214408853e-5,5.457613400065614e-5,5.013079542649836e-5,399999.9981999628,0.0018076109905311476,0.0002439182000874607,0.0035178583609462386,0.04946542758134095,0.00042500965141465834
6.0,3.166194231004476e6,4.47787100590877e6,733135.5336093009,644766.8603839619,2.3422368196241683e6,173577.37361693737,11652.22628682402,3498.8913629020917,18.777743884062478,26223.410773175176,1859.9549298877014,0.04001839516611246,295490.637625972,5.49883596503086e8,80382.86670197362,27568.725683006327,1.1999307986920965e6,91.9486504576408,79950.65174088394,26371.746080548783,25.03761352253761,7.289753701474748,420.1928038593901,0.12780770549518403,47965.869526271345,30.69488384886074,0.00010967992460078835,0.00012507963903824203,0.00011485104074436401,399999.9813791238,0.018700697346339706,0.0011621136839306562,0.0077427643098953855,0.10798667467116733,0.0009336848301997969
6.5,6.283065610085725e6,3.654122013667155e6,1.2959747517626637e6,1.22758062900119e6,2.246309774425073e6,280032.2162311613,10795.805573239792,6092.137076589139,37.61625175641367,26080.74599292033,3329.470755230767,0.07742188749958656,621161.4702084941,5.497512619403117e8,171078.6178102537,59261.70364607452,1.199848494666311e6,199.0504534742925,79899.1780134799,26338.24686701557,55.28464045414462,16.082200025985067,908.2608201231379,0.29472864408334676,47925.13909860473,67.47912744759729,0.0002465842745378593,0.0002810328102519588,0.00025797444350663426,399999.8172813497,0.1835205190431243,0.00530387110847121,0.016777554050887687,0.23385618865362093,0.0020508312862553
7.0,1.1659571676886233e7,2.5839708738229237e6,1.9675475236593434e6,2.117488081626933e6,2.134896707515412e6,402359.5911544894,9630.036921575593,9593.770951079523,71.63738899989755,25868.545386854956,5461.935284566275,0.14119883140890607,1.273042078046404e6,5.494768706518755e8,357676.17589340115,125760.41521015528,1.1996698375510934e6,427.0582361040527,79816.08389674436,26268.962064085208,119.87932960190211,35.55187234619302,1919.6677077990953,0.6657070749060808,47839.73126947026,145.5294161071135,0.0005442678358313868,0.0006199552834884433,0.0005689350543997275,399998.3397596696,1.6677873461017187,0.022751857614074802,0.03559860758962602,0.5018898250483401,0.0046040812227010255
7.5,1.9520787200038373e7,1.6094684904611984e6,2.463561487733834e6,3.1747527470957846e6,2.0220075197021211e6,520932.16729816527,8263.694773121128,13646.426993450486,127.53449551075362,25586.846767643874,8195.829170582776,0.24062855186473311,2.5119278687739125e6,5.489263103449246e8,727358.703362438,261647.57837365085,1.199284871156397e6,904.2158191636508,79742.38156745853,26134.259262387513,253.8088874547102,81.10772934560495,3918.4178148244387,1.4761843870770996,47669.123619085265,305.59300425054346,0.0011768332314681692,0.0013396910919686248,0.0012290864481927235,399986.58052198414,13.483926271578152,0.08921155827503341,0.0731653422610231,1.066361897771018,0.011289137503944219
8.0,2.8670991489228968e7,1.0189331659100378e6,2.623091608570774e6,4.073660950558348e6,1.9165553282313922e6,621650.201309589,6854.96207236547,17746.97162007035,210.33211099508827,25246.38412883249,11353.54461879005,0.3830033962716704,4.726259956087795e6,5.478701846716071e8,1.4232213883486774e6,528609.9003880152,1.198470601169117e6,1874.9346641526035,79888.75222459943,25897.465264891536,519.2763972778845,205.76639999153883,7588.708257429024,3.2099881169486006,47355.21162870737,616.6723226078564,0.0024763309994746585,0.0028169194172308855,0.0025834194697949785,399908.11139922624,92.3670991077698,0.31244803016749245,0.14352794761761786,2.249935905307137,0.03384989351831777
