t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082439807225,5.499689668698592e6,255.72405613394446,111.56592096861202,2.499950183899222e6,60.62328356101933,15999.820719233321,0.5594004141785522,5.119869244351115e-20,32999.9735879638,0.3067173701083079,1.5944980488005199e-6,41.2654270644798,5.499999934859208e8,5.8017056644382246,0.6736609233804172,1.2000000025295597e6,0.0,99999.999324968,32999.999995292295,4.694244439859183e-6,1.4006854391264845e-19,0.0006725882837499925,2.1798531154279657e-48,59999.99999045782,9.409232191077703e-6,4.146861446079565e-12,4.825670891047748e-12,4.47527292470723e-12,400000.0,6.1503907249011095e-18,9.62814216250521e-15,7.949821077483705e-9,8.016282274334783e-7,2.1070169810523216e-22
1.0,1663.5766437998916,5.499369564331735e6,468.34331618521736,346.4919871670258,2.4998867838333286e6,129.03736276440185,15999.30890764194,2.1416544946341123,0.0014399107484632497,32999.898185241465,1.1466040711095427,1.169468724097063e-5,96.92502095730465,5.499999736745178e8,21.243989809692174,4.522595913976429,1.2000000055952368e6,0.004324380209278773,99999.98557768736,32999.99967788338,0.0003201949726517398,6.806820888717474e-6,0.01704807438480199,6.390556514002045e-9,59999.99950365992,0.00048238892523799726,4.341622172000718e-10,5.039011841109283e-10,4.666994919889635e-10,400000.0,7.016983597933168e-15,2.556051093323753e-12,2.576288517700447e-7,9.892058200584271e-6,8.277232040156886e-9
1.5,3582.7311259681924,5.498707043101785e6,943.1755286811152,768.0278645308323,2.4997574584510303e6,268.7219766024729,15998.250313861234,5.393904956466238,0.010724252280045844,32999.74222062256,2.837176540222927,3.977572615967494e-5,228.0958199621395,5.499999274964634e8,54.99835632902497,14.832370573377109,1.1999999790520421e6,0.04427854623699473,99999.98982706582,32999.99652955925,0.0034388426313044325,0.0007786993519399438,0.10946044510633585,9.103532315772322e-7,59999.995195206684,0.0046030356429894006,6.265614419932932e-9,7.252754659859013e-9,6.70845056852352e-9,400000.0,7.168289503894396e-13,8.681005912884717e-11,1.8166902998321577e-6,4.276202198550018e-5,2.5744328070401085e-7
2.0,7715.30773272592,5.497254565610937e6,2006.0177499877716,1640.7577477218892,2.4994783347862256e6,572.2439814056949,15996.0148685741,12.24407465472723,0.03696534292962125,32999.412836681055,6.3705727038774365,0.00010470202805738026,534.6433883800175,5.499998187507166e8,133.02627863082944,39.49321341849659,1.19999991520255e6,0.1337394745499647,100000.05409896137,32999.98143890164,0.018336310942918956,0.005564102018655222,0.4226944223898759,1.4936653447913088e-5,59999.97572812482,0.0229386035036497,4.1321576454078225e-8,4.7707960787499415e-8,4.4071049666413756e-8,400000.0,2.936627868730537e-11,1.2789934367307713e-9,7.351930255382912e-6,0.00012996559352450836,1.0813063370869925e-6
2.5,16526.515041613256,5.494130504405403e6,4294.223316572896,3506.8366748773997,2.498880528100301e6,1223.3005392599719,15991.24256020847,26.853248632422076,0.09831987485700569,32998.709512662994,13.887494305783413,0.0002475022895506745,1225.9414999012063,5.499995670479289e8,311.8335990416825,97.04021302794519,1.1999997660927526e6,0.337302875400237,100000.18916886103,32999.9300437433,0.06891774136296608,0.020697811760382306,1.2851936807495992,0.00010606531856130328,59999.91146828552,0.08265519147169106,1.8179498288470493e-7,2.0938160956529452e-7,1.9318784547421713e-7,399999.9999999993,7.028946973464793e-10,1.1904350153585745e-8,2.289952367050207e-5,0.0003411559000740131,3.0519175748602263e-6
3.0,35360.74377107984,5.487449751020898e6,9184.221161183385,7500.3968400712665,2.497606037359621e6,2611.8360212025755,15981.052907084959,58.031668297929194,0.23413690746504146,32997.207147408706,29.91922435749674,0.0005562439979198008,2760.8057531033787,5.499989961170435e8,714.240912805558,228.76377526587999,1.1999994115667758e6,0.8089096586594864,100000.45621070993,32999.78339808159,0.21287832698332054,0.059994028976794,3.4447600836747583,0.000489501077160215,59999.731170891806,0.24838875223045495,6.313849680907341e-7,7.255936504696986e-7,6.687509750941423e-7,399999.9999999877,1.2323465526797644e-8,8.610057977515016e-8,6.21893973688421e-5,0.000834291665196866,7.642396843731254e-6
3.5,75620.12549720415,5.473193908024548e6,19613.23721417253,16032.061601905865,2.4949017562511507e6,5559.1471679260985,15959.35894628548,124.3931496993725,0.5287687972438547,32994.00561098996,64.05287847637403,0.0012185861589040464,6138.337056045706,5.499977202048492e8,1608.1059559671573,525.3615075800382,1.1999985880392564e6,1.8830126892185979,100001.0154058331,32999.40416564162,0.5844711762184134,0.15511859893634025,8.587841065621914,0.0017561991406974944,59999.2693356093,0.6693847250242569,1.8910249935712281e-6,2.168993761432839e-6,1.9971885169711453e-6,399999.9999998213,1.7944122365857067e-7,5.374200735580015e-7,0.0001562398541387392,0.0019604118626083745,1.8206294360782943e-5
4.0,161547.72785759455,5.442881813431281e6,41769.98823358678,34212.181696848544,2.4892184663868006e6,11757.06169010579,15913.45297165207,264.78422339180406,1.1617691743860434,32987.21755056033,136.3652735667938,0.0026318500247363174,13519.910017507094,5.499948991869525e8,3575.3817397099774,1184.8833697863324,1.1999967167420082e6,4.28946513451078,100002.21467392691,32998.47944099705,1.4895120950002738,0.37738123001407686,20.46934048255142,0.00538120723655049,59998.14960905788,1.68382558048941,5.139617460428392e-6,5.8854382638608294e-6,5.41491920023199e-6,399999.9999976853,2.323823481599133e-6,3.0584811417233226e-6,0.0003742316402467374,0.004490985247239503,4.212059064546779e-5
4.5,344337.31619575777,5.378916780100662e6,88445.2575430014,72752.9594384083,2.477510613194973e6,24540.719979395268,15817.532395799364,558.0228957680632,2.5125836883947437,32972.974843890064,287.89505336357405,0.005627037754282648,29555.588377538745,5.499887130459955e8,7874.0172564992745,2637.5674193321734,1.199992528853992e6,9.618968712767387,100004.80411016663,32996.308452387464,3.613657442817034,0.8848957529032643,47.35846583728322,0.01486780772309259,59995.52985873921,4.046963807764611,1.3078209045784839e-5,1.4955592334644678e-5,1.3750832307425805e-5,399999.9999722951,2.7816901020929653e-5,1.6361732476993943e-5,0.0008687262268501844,0.010109809026222796,9.55116292464542e-5
