t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125937,5.499689668697213e6,255.72405742214957,111.56592114622035,2.4999501838990212e6,60.62328381766252,12799.85657538646,0.4475203319589959,-9.340579050742043e-21,26399.97887037102,0.2453738964294788,1.275598439793177e-6,41.26542723592003,5.499999934859214e8,5.80170567287409,0.6736609238015473,1.200000002529559e6,0.0,79999.99945997435,26399.999996987066,2.70388479773103e-6,5.808922670266784e-20,0.0005380706270937661,7.061245096362937e-52,47999.99999389299,6.021908604502879e-6,2.653991326074951e-12,3.088429370950826e-12,2.8641746724437956e-12,400000.0,3.188362568472254e-18,5.545809902656301e-15,6.359856862824078e-9,8.01628227689877e-7,1.0922776072486618e-22
1.0,1663.577019825863,5.499369564283585e6,468.34335912457567,346.4920079455635,2.4998867838260834e6,129.03737190009244,12799.447126100762,1.713323635683571,0.0011519285994450248,26399.918548191275,0.9172832789180311,9.355749884492464e-6,96.92502711653492,5.499999736745185e8,21.243990339139135,4.522595962747394,1.2000000060385491e6,0.003891942188498455,79999.98804322211,26399.99979384628,0.00018443147629816476,4.900911025550387e-6,0.013638459532930962,3.6809605523765567e-9,47999.99968234234,0.0003087289148202218,2.778638204536023e-10,3.224967595119631e-10,2.986876764312881e-10,400000.0,3.639003133071513e-15,1.4739030098963235e-12,2.0609874345186446e-7,9.89205825548797e-6,7.449508836097567e-9
1.5,3582.734983507508,5.498707042507207e6,943.1760452405223,768.0283156588505,2.4997574583592894e6,268.7220906133648,12798.600250882822,4.3151246081124315,0.008579401906812532,26399.793776467668,2.269741584101102,3.182058288958593e-5,228.09589801024214,5.499999274964551e8,54.998364720268015,14.83237157864234,1.1999999838727536e6,0.03985069183261956,79999.97652650978,26399.997779657377,0.0019801088847544446,0.0005606634747942912,0.08756835083826442,5.243629634856384e-7,47999.99692493082,0.00294594288675511,4.0099933088103466e-9,4.641763075157945e-9,4.293408449819048e-9,400000.0,3.7791638272615414e-13,5.107730487864117e-11,1.4524482216894564e-6,4.2762023487150465e-5,2.3169895320679508e-7
2.0,7715.335983352524,5.49725456070109e6,2006.0219378620666,1640.7619493430877,2.499478334014902e6,572.2449294549117,12796.81189285121,9.795265976715589,0.02957227612432822,26399.530269048937,5.096461568821557,8.37616450365832e-5,534.6440496614039,5.499998187506238e8,133.02635997262726,39.493224521749404,1.1999999304439093e6,0.12036553353922651,79999.9694569444,26399.98813156806,0.010552155352848078,0.004006151496963917,0.33815541443977526,8.602002512693553e-6,47999.98446597691,0.014680706462723908,2.6445809496764047e-8,3.0533095557487016e-8,2.82054723900935e-8,400000.0,1.5676542075859976e-11,7.598186400068252e-10,5.874206061702539e-6,0.00012996561309298283,9.731757280066711e-7
2.5,16526.68462632932,5.494130472485226e6,4294.250166067054,3506.864454425373,2.498880523021529e6,1223.3067281035985,12792.994033497276,21.482644529435497,0.07865592047617208,26398.967607968156,11.110020197123077,0.00019800201749929034,1225.945909087697,5.499995670472308e8,311.83419463088325,97.04029905060136,1.1999998055579558e6,0.3035726692076906,79999.92227435521,26399.955286170407,0.03964454724302559,0.014902402815562665,1.028153721824816,6.105514886013877e-5,47999.943339498874,0.05289932168941397,1.1634878925849559e-7,1.3400423034791788e-7,1.236402213037181e-7,399999.99999999965,3.7602257913834733e-10,7.075157806508074e-9,1.8290998639067818e-5,0.00034115607073935465,2.7467261784112266e-6
3.0,35361.65224501003,5.487449571292895e6,9184.370853328539,7500.552554669125,2.497606008589266e6,2611.870870131753,12784.84223633018,46.42561221133875,0.18730969594291358,26397.765704751087,23.935529663294563,0.0004449964324028875,2760.8311493336737,5.499989961126924e8,714.2445697827992,228.76430184821288,1.1999995075628175e6,0.7280193891423796,79999.75716524532,26399.86158570672,0.12242851201812395,0.0431955407219559,2.7557993237064817,0.0002816551656809146,47999.82794793603,0.15896879884872162,4.040863734496447e-7,4.643799291859487e-7,4.2800061747041604e-7,399999.9999999935,6.584131389412728e-9,5.1083285047952695e-8,4.9666757496704626e-5,0.0008342928069508642,6.878160369363694e-6
3.5,75624.67872035368,5.473192980542704e6,19614.004520879065,16032.860031681172,2.4949016082283678e6,5559.325877583219,12767.486673471794,99.51602100240979,0.42301616923052787,26395.204417385008,51.24311391837965,0.0009748760407432464,6138.470679765299,5.499977201806992e8,1608.1260418309316,525.3642499574358,1.199998813418075e6,1.6947161399342132,79999.31283164425,26399.619286339832,0.33609194045804713,0.11168439300440261,6.870218839414551,0.001010204369860651,47999.53236591727,0.42840626668249643,1.210256020250402e-6,1.3881560357992387e-6,1.2782006773345955e-6,399999.99999990466,9.570472459686527e-8,3.182982363040306e-7,0.00012476996050222167,0.001960418203043995,1.6385684366654048e-5
4.0,161569.64085682848,5.442877286157969e6,41773.71623586146,34216.06795927001,2.489217756311351e6,11757.918790241167,12730.759966089678,211.83485992189173,0.9294218713339346,26389.773683425454,109.09626358868756,0.002105517258124539,13520.573953690908,5.499948990625223e8,3575.4844579768205,1184.8961162980477,1.199997233111513e6,3.8605462384470615,79998.22419529947,26399.028445953376,0.8564588285966275,0.2717087191859727,16.375163252723496,0.0030948069034737844,47998.81569945449,1.0776488476084665,3.2893557741065132e-6,3.7666811834213526e-6,3.46554893088294e-6,399999.9999987671,1.2376632264549224e-6,1.8090865604100412e-6,0.0002988393013986789,0.00449101591239064,3.790859493429911e-5
4.5,344439.9678641224,5.378895562248731e6,88462.66569166284,72771.242167983,2.477507425867074e6,24544.582953255423,12654.014687096469,446.4531380681338,2.0101011454336235,26378.37820301403,230.33494096847272,0.004501811565829031,29558.765393820355,5.499887124354374e8,7874.518597135553,2637.6219060755584,1.1999936915751442e6,8.657219007697478,79995.67662749077,26397.64113652649,2.077727867850662,0.6370923557777852,37.8850849889096,0.008549676171285239,47997.13884075997,2.590059672353085,8.370058447024125e-6,9.57158447608534e-6,8.800537650360338e-6,399999.99998525885,1.4800667174663337e-5,9.669189915493224e-6,0.0006936798842722111,0.010109940749072191,8.596010770694293e-5
