t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082439807223,5.49968966869859e6,255.72405613394432,111.56592096861193,2.4999501838992215e6,60.623283561019285,15999.820719233321,0.5594004141785517,1.377679461774098e-20,32999.97358796379,0.3067173701083077,1.5944980488005184e-6,41.26542706448909,5.499999934859209e8,5.801705664438499,0.6736609233804256,1.2000000025295597e6,0.0,99999.99932496797,32999.99999529231,4.694244439859176e-6,1.4006854391265828e-19,0.0006725882837499925,7.299407219695114e-53,59999.9999904578,9.409232191077694e-6,4.1468614460795565e-12,4.825670891047737e-12,4.475272924707222e-12,400000.0,6.150390724902327e-18,9.628142162506406e-15,7.949821077483698e-9,8.016282274334811e-7,2.1070169810525678e-22
1.0,1663.576643799891,5.499369564331732e6,468.3433161852172,346.4919871670256,2.4998867838333244e6,129.03736276440165,15999.308907641947,2.1416544946341087,0.0014399107484632558,32999.89818524145,1.1466040711095409,1.1694687240970612e-5,96.92502096156336,5.499999736745185e8,21.243989809934057,4.522595913986985,1.2000000055952384e6,0.004324380209278772,99999.98557768721,32999.99967788343,0.00032019497265177937,6.806820888717474e-6,0.017048074384808657,6.3905565140022835e-9,59999.99950365996,0.0004823889252380796,4.341622172001056e-10,5.039011841109677e-10,4.666994919890002e-10,400000.0,7.016983598230717e-15,2.5560510933931792e-12,2.576288517701178e-7,9.892058200594036e-6,8.277232040156882e-9
1.5,3582.731125968175,5.498707043101782e6,943.1755286811108,768.0278645308288,2.4997574584510266e6,268.7219766024714,15998.25031386124,5.393904956466205,0.010724252280045764,32999.74222062256,2.8371765402229094,3.977572615967466e-5,228.09582015622914,5.499999274964639e8,54.9983563442494,14.83237057082915,1.1999999790520435e6,0.04427854623702357,99999.98982706566,32999.9965295593,0.0034388426313037607,0.0007786993519399866,0.10946044510545964,9.103532315772844e-7,59999.99519520671,0.004603035642984451,6.265614419934611e-9,7.252754659860951e-9,6.7084505685253105e-9,400000.0,7.16828951043099e-13,8.681005917849585e-11,1.816690299824541e-6,4.2762021983685686e-5,2.574432807040612e-7
2.0,7715.307732726004,5.497254565610936e6,2006.017749987793,1640.757747721907,2.499478334786222e6,572.2439814057001,15996.014868574104,12.244074654727354,0.03696534292962186,32999.41283668105,6.370572703877501,0.00010470202805738149,534.6433918205672,5.499998187507167e8,133.02627896676023,39.49321321738819,1.1999999152025515e6,0.13373947455609625,100000.05409896141,32999.9814389017,0.018336310940785715,0.005564102018683381,0.42269442217228054,1.4936653447920018e-5,59999.97572812485,0.0229386034998523,4.132157645182634e-8,4.770796078488159e-8,4.4071049663987265e-8,400000.0,2.9366278905201394e-11,1.2789934425299592e-9,7.351930252629591e-6,0.00012996559329383713,1.0813063371044541e-6
2.5,16526.515041612613,5.494130504405402e6,4294.223316572728,3506.8366748772632,2.498880528100297e6,1223.3005392599225,15991.242560208477,26.853248632420982,0.09831987485700175,32998.70951266298,13.887494305782843,0.00024750228955066364,1225.9415353112379,5.49999567047925e8,311.83360311806047,97.04020841748888,1.1999997660927556e6,0.3373028756347079,100000.18916886952,32999.93004374348,0.06891774124144256,0.020697811762273973,1.2851936724792319,0.00010606531855724335,59999.91146828575,0.08265519127879528,1.8179498272741946e-7,2.0938160938272315e-7,1.9318784530511454e-7,399999.99999999936,7.028947220753881e-10,1.1904350400021476e-8,2.2899523555214474e-5,0.00034115589342821227,3.051917575724069e-6
3.0,35360.74377107975,5.487449751020898e6,9184.221161183363,7500.3968400712465,2.4976060373596167e6,2611.836021202566,15981.052907084968,58.03166829792899,0.23413690746503416,32997.207147408706,29.919224357496624,0.0005562439979197985,2760.8060104370547,5.499989961170052e8,714.2409464542778,228.76371561290125,1.1999994115667883e6,0.8089096626174168,100000.45621086689,32999.7833980845,0.21287832415287236,0.059994029024714894,3.444759934362837,0.0004895010768381006,59999.731170896186,0.24838874801765648,6.313849638764951e-7,7.255936455838359e-7,6.687509705714202e-7,399999.9999999879,1.2323466975753275e-8,8.610058537784549e-8,6.218939517129586e-5,0.0008342915654630167,7.642396861208078e-6
3.5,75620.12549720384,5.4731939080245495e6,19613.237214172448,16032.061601905803,2.4949017562511466e6,5559.14716792607,15959.358946285489,124.39314969937193,0.528768797243846,32994.00561098995,64.05287847637369,0.0012185861589040397,6138.338530819768,5.499977202045971e8,1608.1061692489163,525.3609529242688,1.199998588039312e6,1.8830127298416484,100001.01540768871,32999.40416568193,0.5844711362674456,0.15511859960978558,8.587839306702126,0.00175619913144486,59999.269335668454,0.6693846680316379,1.8910249273236783e-6,2.168993684708879e-6,1.9971884459869946e-6,399999.9999998214,1.7944127834605722e-7,5.374201552145513e-7,0.0001562398273351658,0.001960410834427084,1.8206294566457572e-5
4.0,161547.72785759898,5.44288181343128e6,41769.988233587916,34212.181696849475,2.489218466386797e6,11757.06169010609,15913.452971652077,264.7842233918111,1.161769174386071,32987.217550560315,136.36527356679733,0.0026318500247363864,13519.917120703434,5.499948991856058e8,3575.382855827746,1184.879185353906,1.1999967167421998e6,4.289465434370758,100002.21469054128,32998.47944141008,1.489511685486419,0.3773812364046391,20.469324713031277,0.005381207084290589,59998.149609648564,1.683825013480505,5.139616721160204e-6,5.8854374084887174e-6,5.414918409218918e-6,399999.99999768543,2.3238249700139166e-6,3.0584819350489367e-6,0.0003742313941870566,0.004490976894934776,4.212059233358945e-5
4.5,344337.3161957635,5.3789167801006595e6,88445.25754300285,72752.95943840951,2.477510613194969e6,24540.719979395624,15817.53239579937,558.022895768072,2.51258368839477,32972.97484389005,287.89505336357826,0.005627037754282734,29555.618078148935,5.499887130398268e8,7874.022282991319,2637.539956201104,1.1999925288544132e6,9.618970469445717,100004.80423346373,32996.308455793005,3.6136540660803993,0.8848957989437293,47.35834833240805,0.014867805968126622,59995.52986352092,4.046959233350478,1.3078202524418643e-5,1.4955584795291993e-5,1.3750825338175213e-5,399999.999972295,2.781693118972303e-5,1.6361736306142818e-5,0.0008687243624554992,0.010109751176146984,9.551164000536487e-5
