t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082439807222,5.499689668698594e6,255.72405613394452,111.56592096861206,2.4999501838992215e6,60.62328356101926,15999.820719233312,0.5594004141785514,-7.511346594586871e-21,32999.97358796382,0.3067173701083077,1.5944980488005188e-6,41.40362411254237,5.499999924098343e8,6.760646032980691,0.7844564116272839,1.2000000025329818e6,0.0,99999.99921430713,32999.999994521204,5.463149496132948e-6,1.6348921675035162e-19,0.0007828488104990753,1.182898081918437e-52,59999.99998889449,1.0950784662485876e-5,4.8260089624252255e-12,5.615990118599903e-12,5.208206305940506e-12,400000.0,7.190830750032088e-18,1.1234045214918998e-14,9.252607156950168e-9,9.331927012987991e-7,2.4611413989377203e-22
1.0,1663.5766437998927,5.499369564331736e6,468.3433161852178,346.49198716702597,2.4998867838333254e6,129.03736276440173,15999.30890764194,2.141654494634108,0.0014399107484632623,32999.898185241465,1.146604071109542,1.1694687240970629e-5,98.74490560331213,5.499999690951416e8,24.96201161433555,5.290612659223157,1.2000000056854323e6,0.0043247777485447845,99999.98272751218,32999.99962474507,0.00037301704319828247,6.807000871622506e-6,0.019877380352963485,7.437010550258463e-9,59999.99942168133,0.0005620697381341223,5.056721263552485e-10,5.86898419632555e-10,5.435696180298761e-10,400000.0,8.406858685925868e-15,3.022499316781887e-12,3.0029692912652167e-7,1.1548197129739485e-5,8.27762005685138e-9
1.5,3582.7311259681696,5.498707043101786e6,943.1755286811098,768.0278645308275,2.499757458451027e6,268.721976602471,15998.250313861232,5.393904956466189,0.01072425228004573,32999.742220622575,2.8371765402229046,3.977572615967456e-5,236.64061807144637,5.499999137679089e8,65.57162930139076,17.522498223391352,1.1999999794982276e6,0.04444061039172444,99999.9710835474,32999.99594813878,0.004015002863380279,0.0007795720715407849,0.1281807822295898,1.0601722248862697e-6,59999.99438534858,0.0053791788433354545,7.3126771751672046e-9,8.46483507627518e-9,7.829591783936507e-9,400000.0,8.815410498338077e-13,1.0345260433136248e-10,2.1241990508121725e-6,5.02616599806895e-5,2.5796205394372176e-7
2.0,7715.307732726014,5.497254565610936e6,2006.0177499877966,1640.7577477219093,2.499478334786222e6,572.243981405701,15996.014868574099,12.244074654727363,0.036965342929621704,32999.41283668106,6.370572703877512,0.00010470202805738166,563.151766668356,5.499997813080323e8,161.07738257690247,47.27028601280958,1.199999915615626e6,0.13572046283257672,99999.98102946123,32999.97824339048,0.021493673718297125,0.005593675303293144,0.4985775507784904,1.7423331870116836e-5,59999.97149337164,0.02694481528809748,4.8405498037764576e-8,5.5887764027150604e-8,5.1627759693280476e-8,400000.0,3.7057425195867553e-11,1.5438162685625326e-9,8.647661318951539e-6,0.000154363955698663,1.091342233631576e-6
2.5,16526.515041613497,5.494130504405402e6,4294.2233165729585,3506.83667487745,2.498880528100297e6,1223.300539259988,15991.24256020847,26.85324863242243,0.09831987485700737,32998.709512663016,13.887494305783605,0.00024750228955067806,1308.0335091199236,5.49999470474794e8,382.9190127248215,117.75234315910366,1.1999997631519453e6,0.34751205664010815,99999.96767727679,32999.917483861835,0.08129596948345162,0.020975310499230015,1.5305010570898274,0.00012406981987279483,59999.895277960175,0.09780083854062423,2.1412171271596196e-7,2.466236242621986e-7,2.2755402360291623e-7,399999.9999999991,9.136266597497303e-10,1.4635989686862108e-8,2.717446460796919e-5,0.0004102707912734032,3.1183288950188958e-6
3.0,35360.7437710793,5.487449751020899e6,9184.221161183248,7500.396840071153,2.4976060373596167e6,2611.836021202532,15981.052907084959,58.03166829792823,0.23413690746503732,32997.20714740874,29.91922435749627,0.0005562439979197914,2979.2723975313756,5.499987569478017e8,888.0068939692213,281.21664718625107,1.199999393967736e6,0.8458529951326588,99999.86555944577,32999.742397957685,0.25320046589820366,0.06146492997561676,4.14741341071505,0.0005751931543835608,59999.67920706504,0.29655008683266865,7.489037877365986e-7,8.607074461498015e-7,7.933073496066115e-7,399999.9999999836,1.6521703063430997e-8,1.0804221838780257e-7,7.458568763503743e-5,0.001016232900992396,7.920474185323237e-6
3.5,75620.1254972029,5.47319390802455e6,19613.237214172204,16032.061601905601,2.4949017562511475e6,5559.147167925999,15959.358946285487,124.39314969937028,0.5287687972438458,32994.00561099001,64.05287847637295,0.0012185861589040245,6691.260790747608,5.49997145361619e8,2021.5439934283218,653.5347044362783,1.1999985236134843e6,1.9954189250450713,99999.54629266926,32999.2846095277,0.7018610375159532,0.1608700669713231,10.458067273283344,0.002076686968515782,59999.11949832747,0.8072224400395587,2.2616856353737346e-6,2.594411651060004e-6,2.389032786203197e-6,399999.9999997529,2.480495382769583e-7,6.884788586165508e-7,0.00018950839620868247,0.0024173632191947445,1.9130303222651186e-5
4.0,161547.72785759816,5.442881813431281e6,41769.98823358772,34212.18169684931,2.4892184663867974e6,11757.06169010603,15913.452971652074,264.78422339180963,1.1617691743860707,32987.21755056038,136.36527356679687,0.002631850024736376,14870.76119737934,5.49993548366596e8,4539.150740547757,1489.8848872198253,1.1999965205745725e6,4.599812528173413,99998.71054207545,32998.155754745836,1.8070018909220684,0.39619721855789336,25.20759060278821,0.006412770116014093,59997.74710180595,2.051915063149676,6.2035629250216394e-6,7.104777943503411e-6,6.53723039869555e-6,399999.9999967049,3.307841772232744e-6,3.997667094990358e-6,0.0004590257887501098,0.005600956416264412,4.481811053224037e-5
4.5,344337.31619576167,5.378916780100661e6,88445.25754300242,72752.95943840915,2.4775106131949695e6,24540.719979395504,15817.53239579937,558.022895768069,2.5125836883947574,32972.974843890115,287.89505336357735,0.005627037754282714,32770.501206679015,5.49985593931324e8,10085.031439317278,3348.7635148523877,1.1999919873557512e6,10.424976304066794,99996.67863852976,32995.47679197886,4.429185984767101,0.9399302623727795,58.94022206111789,0.017874023906047705,59994.501391428515,4.9832278183533845,1.5937668883337502e-5,1.8228694933819646e-5,1.67616932377187e-5,399999.9999594631,4.0698878660458095e-5,2.1795835076037787e-5,0.0010769490352266749,0.012739637749499929,0.00010278647713928053
