t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,70000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082702785297,5.499689668696525e6,255.7240580662523,111.56592123502462,2.499950183898925e6,60.62328394598424,11199.874503463067,0.3915802907336894,2.5769800961334732e-20,23099.981511574628,0.2147021595257836,1.1161486351483645e-6,41.52656100227302,5.499999914509113e8,7.615301805826948,0.883073709761233,1.2000000025360254e6,0.0,69999.99938112602,23099.99999697944,2.4095452979190586e-6,4.0485364919076417e-20,0.0006166338996215818,3.71384781572386e-53,41999.99999387713,6.0375315277448205e-6,2.6606168604862916e-12,3.0961399403481235e-12,2.8713255926472953e-12,400000.0,2.5476230742854824e-18,4.966136032078083e-15,7.2877627084904805e-9,1.050230824124471e-6,8.712269071946577e-23
1.0,1663.5772078388898,5.499369564259511e6,468.3433805942589,346.49201833483414,2.4998867838224666e6,129.03737646793877,11199.516235332572,1.499158198712756,0.0010079375248094747,23099.92872966651,0.8026228786915798,8.186281189056681e-6,100.37205650275637,5.499999649594713e8,28.324910545028644,5.979966078224152,1.2000000066526749e6,0.003460104902419952,69999.98543465186,23099.999792931776,0.00016466695157691958,3.812010059536864e-6,0.015681208034216004,3.2800065058903307e-9,41999.999680829336,0.0003102060808599477,2.7897987158866085e-10,3.237928866561056e-10,2.9988848584219043e-10,400000.0,3.0448477293237784e-15,1.354037541406924e-12,2.3683556575651385e-7,1.3029228519162601e-5,6.622371974106382e-9
1.5,3582.7369122789423,5.498707042209917e6,943.1763035203917,768.0285412229744,2.499757458313426e6,268.72214761884567,11198.775219432275,3.775734313384503,0.007506976704675468,23099.819554395886,1.9860240400547355,2.7843010886695568e-5,244.36895494838095,5.499999011035392e8,75.36032710789758,19.977982280182513,1.1999999896062866e6,0.03566788572010286,69999.94245266133,23099.997760673574,0.0017751712211442785,0.0004369949636554524,0.10151083215047603,4.678696500361915e-7,41999.9968933101,0.0029765390786232588,4.041812114656117e-9,4.678651379629043e-9,4.3275543419988144e-9,400000.0,3.3445250967907954e-13,4.803392073188973e-11,1.678721433986607e-6,5.7049597719161196e-5,2.0673888221940586e-7
2.0,7715.350108709716,5.497254558246158e6,2006.0240318039575,1640.7640501583003,2.4994783336292454e6,572.2454034805369,11197.21040536628,8.570860465289167,0.025875742387816838,23099.588985288334,4.459405362723626,7.329144929044926e-5,589.3685347132729,5.499997460047028e8,187.6523862462624,54.517253025747074,1.1999999473159532e6,0.10999396677510337,69999.81588442848,23099.987941813357,0.009530081379885567,0.003147221472926933,0.3973761468282274,7.698729510709609e-6,41999.98415586483,0.014978030792808602,2.684230981421275e-8,3.099196221440955e-8,2.8629856147805723e-8,400000.0,1.464652204197692e-11,7.353169165047225e-10,6.865052689236061e-6,0.00017683311951081308,8.802423573280667e-7
2.5,16526.76941941347,5.494130456525044e6,4294.263590897463,3506.8783442906265,2.4988805204821345e6,1223.3098225432173,11193.869772892192,18.797333923612147,0.06882393942503051,23099.09665602613,9.721278501741443,0.00017325184662529155,1384.966210240696,5.499993775483917e8,451.6803815826905,137.45627485464541,1.199999843902901e6,0.28538810963227573,69999.44040347153,23099.95403367,0.036230407689862396,0.01188543490705337,1.230212243112198,5.492793709252944e-5,41999.9414255258,0.0547176068021672,1.193115169492036e-7,1.3742686758382492e-7,1.2680286682389732e-7,399999.99999999965,3.7200010308217664e-10,7.09258433164823e-9,2.1733960531767477e-5,0.0004751701561806476,2.542459488175779e-6
3.0,35362.106491786464,5.487449481427541e6,9184.445700587428,7500.630413317624,2.497605994203891e6,2611.888294850364,11186.736917703252,40.622532124279594,0.16389605831249,23098.04498589267,20.943654158593358,0.00038937241826038984,3187.9709646872116,5.499985224061329e8,1059.3397468894505,332.1027037283031,1.1999995864502466e6,0.7037646657668777,69998.4461213255,23099.855485181353,0.11364202066183723,0.035164789594457624,3.3661647342015586,0.000255543966762499,41999.819165825655,0.16723902173037658,4.1991415216425857e-7,4.826327335922223e-7,4.448523528440601e-7,399999.99999999313,6.907517747801814e-9,5.320834794074157e-8,6.020586278704235e-5,0.001190430157592301,6.5388608578668035e-6
3.5,75626.95544820926,5.473192516785158e6,19614.388188722078,16033.259263304966,2.494901534214532e6,5559.415235478563,11171.550627726998,87.07717518589637,0.3701396430829118,23095.803833970604,44.838079559376254,0.0008530196479075744,7229.413483235525,5.499965715154237e8,2436.5374576299077,780.1891616400492,1.1999989660426693e6,1.6801345825170264,69995.98727680463,23099.59529503996,0.3176558629366932,0.09303119416027204,8.574752609395956,0.0009274747154883767,41999.499281374134,0.45931209815706125,1.2775433295371919e-6,1.4656237669636745e-6,1.3496635847444098e-6,399999.9999998939,1.064290973334361e-7,3.447315859460823e-7,0.00015450251755733344,0.002863110795195111,1.5987103739958635e-5
4.0,161580.59862667418,5.442875022336759e6,41775.58039716922,34218.01127762865,2.48921740124765e6,11758.347373004273,11139.413915360818,185.35877562754507,0.8132469951347094,23091.051816791805,95.46100030370243,0.0018423438932017883,16209.419004022477,5.499921770822403e8,5522.881579897903,1796.5475377889443,1.1999975127523788e6,3.915380462097516,69990.13578929903,23098.94715745172,0.8252554296016439,0.23163050107723074,20.877409164862115,0.0028832292746537643,41998.706901212856,1.178553350305688,3.532972660723045e-6,4.046725110433016e-6,3.72369040156651e-6,399999.99999854935,1.4560388866616652e-6,2.0356968868200187e-6,0.0003779977475985551,0.0067031016995387025,3.788131087604422e-5
4.5,344491.30684118543,5.378884951421281e6,88471.371410516,72780.38549063032,2.47750583196106e6,24546.514749228372,11072.25793775656,390.66173183920966,1.7588534629607901,23081.080196015322,201.55134225414926,0.003939164472099167,36012.58707332009,5.499823769657614e8,12377.737141771097,4075.6703630357347,1.1999941740909826e6,8.962752640475292,69976.56413657214,23097.393396480293,2.041547776721407,0.5553121668745278,49.28697344518534,0.008098409858466934,41996.814159357535,2.8893054461954724,9.155348032516765e-6,1.0473032258309078e-5,9.630913331254208e-6,399999.99998170644,1.8365727932126744e-5,1.1284794516409213e-5,0.0008954172605102034,0.015395280312459344,8.778868938541546e-5
