t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125939,5.499689668697212e6,255.72405742214957,111.56592114622036,2.499950183899023e6,60.62328381766259,12799.85657538646,0.4475203319589962,-8.903133319626631e-21,26399.978870371033,0.24537389642947915,1.2755984397931782e-6,41.34218943304248,5.499999928884478e8,6.334117449025675,0.7351945039521824,1.2000000025314605e6,0.0,79999.99941079738,26399.99999671292,2.9499192909115263e-6,6.347809183274906e-20,0.0005870697294769075,-6.189941054921346e-48,47999.9999933372,6.56997480048114e-6,2.8954533235647884e-12,3.3694170028104413e-12,3.1247595147873105e-12,400000.0,3.48739066419804e-18,6.059089370008029e-15,6.938819920565907e-9,8.747060861260937e-7,1.1940958557397676e-22
1.0,1663.5770198258629,5.4993695642835805e6,468.3433591245756,346.4920079455637,2.4998867838260843e6,129.03737190009258,12799.447126100757,1.7133236356835737,0.0011519285994450459,26399.91854819126,0.9172832789180322,9.355749884492481e-6,97.93468377724099,5.499999711399692e8,23.301052673935164,4.948292543681927,1.200000006088635e6,0.0038921409566759235,79999.98677757825,26399.999774962274,0.00020132593522677002,4.9009830184984715e-6,0.014894823198191725,4.015811307755202e-9,47999.99965321138,0.00033704327092218446,3.032792016327734e-10,3.519948413311483e-10,3.2600811182116706e-10,400000.0,4.034641438748212e-15,1.6221632955872939e-12,2.250478440939558e-7,1.0810827149102751e-5,7.449702843472428e-9
1.5,3582.73498350726,5.498707042507203e6,943.1760452404591,768.028315658798,2.499757458359291e6,268.72209061334684,12798.600250882813,4.315124608112104,0.008579401906811425,26399.79377646765,2.2697415841009314,3.1820582889582925e-5,232.82355182692206,5.499999199367771e8,60.81548618832364,16.317490894363964,1.1999999841291516e6,0.03993169885481232,79999.9682034257,26399.997573276327,0.002164170357867849,0.0005610125114971715,0.09586569716340623,5.722879312641487e-7,47999.99663751197,0.003221389832733472,4.381794096690296e-9,5.072158675507498e-9,4.691512052605129e-9,400000.0,4.2448445764840317e-13,5.635041493985588e-11,1.5887783751919158e-6,4.6910682785554356e-5,2.3195828476264336e-7
2.0,7715.33598335286,5.497254560701085e6,2006.0219378621525,1640.7619493431584,2.4994783340149024e6,572.2449294549368,12796.8118928512,9.795265976716037,0.029572276124330287,26399.530269048922,5.096461568821787,8.376164503658755e-5,550.354517320992,5.499997982416605e8,148.3730395395081,43.7652996735215,1.1999999307855899e6,0.12135456003446647,79999.93684476386,26399.98699961252,0.01155873660967321,0.004017972231790277,0.37168826723488785,9.396796331447003e-6,47999.98296627937,0.01609937756210483,2.8957234297764898e-8,3.343301467608646e-8,3.0884480916146695e-8,400000.0,1.7843026274309514e-11,8.435357212281097e-10,6.446991945669702e-6,0.00014340636671786642,9.781884048835175e-7
2.5,16526.6846263293,5.494130472485223e6,4294.250166067047,3506.8644544253675,2.498880523021529e6,1223.3067281035978,12792.994033497265,21.48264452943548,0.07865592047617184,26398.967607968145,11.110020197123063,0.00019800201749929015,1270.980121888384,5.499995144107525e8,350.5283571541641,108.36082177555673,1.1999998045297929e6,0.30865774066775686,79999.82248187365,26399.95084980088,0.04357939130468054,0.015013182701162309,1.136145042242633,6.680114059547226e-5,47999.937622579426,0.05824669086688976,1.2778329433182387e-7,1.4717714013479486e-7,1.3579581845903017e-7,399999.99999999965,4.3498480409752034e-10,7.93492633754339e-9,2.0173640973434297e-5,0.0003790522218377164,2.779837838614239e-6
3.0,35361.652245009886,5.487449571292893e6,9184.370853328503,7500.552554669096,2.497606008589266e6,2611.8708701317437,12784.84223633017,46.42561221133857,0.18730969594291183,26397.765704751066,23.935529663294478,0.00044499643240288603,2880.1254035933453,5.499988663526838e8,808.3935249134519,257.2974041327105,1.1999995000735912e6,0.7463581420202184,79999.48809625495,26399.84715384764,0.13520154109824156,0.04378154265879566,3.0638372502565923,0.0003089430502542564,47999.80966267523,0.17591266601719405,4.455358538574934e-7,5.120339486901882e-7,4.71930492046173e-7,399999.9999999924,7.748736445225375e-9,5.7950981867087284e-8,5.51029256967507e-5,0.0009335834987169968,7.016421312561423e-6
3.5,75624.67872034962,5.473192980542704e6,19614.00452087801,16032.860031680315,2.4949016082283678e6,5559.325877582923,12767.486673471787,99.51602100240439,0.4230161692305059,26395.204417384994,51.243113918376885,0.0009748760407431935,6439.047221978374,5.49997409638684e8,1831.1714121914456,594.7786614538198,1.1999987848793657e6,1.750290233159637,79998.63628819754,26399.57736236988,0.37313538522242545,0.11396942920574321,7.686620158978367,0.001111974634782182,47999.47983872818,0.47671345016189137,1.3405610688396694e-6,1.537704999442289e-6,1.4159446909708285e-6,399999.999999886,1.1456472702567027e-7,3.6529702199926384e-7,0.0001392959687612882,0.002208665991415017,1.684347625335812e-5
4.0,161569.64085682787,5.442877286157969e6,41773.716235861306,34216.06795926988,2.489217756311352e6,11757.918790241125,12730.759966089669,211.83485992189082,0.9294218713339296,26389.773683425443,109.09626358868714,0.002105517258124531,14251.796386615262,5.499941722429081e8,4093.3549787439943,1349.3952935473314,1.199997144934707e6,4.0133262045002365,79996.59436755387,26398.915380176197,0.9562479440256074,0.27915932592668785,18.434894441977086,0.0034213106908116847,47998.675138876184,1.20614302746633,3.6620615858555096e-6,4.193800556934626e-6,3.858670563524787e-6,399999.99999850016,1.5057556755339457e-6,2.099536047576825e-6,0.0003357049595476271,0.005091466338840878,3.923970309680775e-5
4.5,344439.9678641239,5.378895562248732e6,88462.6656916632,72771.24216798329,2.477507425867074e6,24544.58295325553,12654.014687096458,446.4531380681354,2.010101145433629,26378.378203014014,230.33494096847355,0.00450181156582905,31292.0819135952,5.49987040423271e8,9058.199651213552,3019.7534470174005,1.199993446695083e6,9.052302405091366,79991.86329859575,26397.35171729048,2.3330429393302037,0.6588031055871283,42.899646361714794,0.009497815388281266,47996.78103773378,2.915625435200689,9.36809303003034e-6,1.0713922248284274e-5,9.851319477074128e-6,399999.9999817927,1.8280571137417817e-5,1.1339903666938597e-5,0.000783838979783595,0.011526945899630669,8.953470473737153e-5
