t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125938,5.499689668697213e6,255.72405742214968,111.56592114622039,2.499950183899024e6,60.62328381766258,12799.856575386464,0.4475203319589962,-4.4863272098119e-20,26399.978870371022,0.24537389642947896,1.2755984397931776e-6,41.26542723592361,5.499999934859211e8,5.801705672874197,0.673660923801551,1.20000000252956e6,0.0,79999.99967598465,26399.999998915355,9.733985278201142e-7,1.2547272993875327e-20,0.00032284237669299705,5.295483499600009e-51,47999.999996335784,3.6131451669232506e-6,1.5923947967375098e-12,1.8530576238431076e-12,1.7185048046470538e-12,400000.0,1.1478105249853155e-18,1.9964915658252845e-15,3.815914121415836e-9,8.016282276898787e-7,3.9321993868951174e-23
1.0,1663.5770198258645,5.499369564283584e6,468.3433591245766,346.4920079455643,2.4998867838260857e6,129.03737190009264,12799.447126100758,1.713323635683575,0.0011519285994450396,26399.91854819126,0.9172832789180324,9.355749884492491e-6,96.92502711817681,5.499999736745178e8,21.243990339232223,4.522595962765391,1.2000000060385484e6,0.003891942188498474,79999.9928259331,26399.99992578465,6.639533280313321e-5,2.9405467686613124e-6,0.008183075987108974,1.325145799371789e-9,47999.99980940538,0.00018523735450333488,1.6671829526998394e-10,1.9349805919331221e-10,1.79212609090663e-10,400000.0,1.3117210871107146e-15,5.325486246094168e-13,1.2365924940315262e-7,9.892058255497373e-6,7.449508835951684e-9
1.5,3582.734983507506,5.498707042507206e6,943.1760452405217,768.0283156588504,2.499757458359293e6,268.7220906133648,12798.600250882819,4.315124608112429,0.008579401906812549,26399.79377646765,2.2697415841010997,3.1820582889585886e-5,228.0958980956318,5.499999274964544e8,54.99836472664304,14.832371590015114,1.1999999838727533e6,0.039850691832629605,79999.9859159051,26399.999200676568,0.00071283927364104,0.0003363981206249236,0.05254101529878797,1.887706691081681e-7,47999.998154958215,0.001767565990491975,2.405996212385292e-9,2.7850581086584205e-9,2.5760453139905066e-9,400000.0,1.4368847442970107e-13,1.9690556764558513e-11,8.714690082854673e-7,4.276202349680132e-5,2.3169895318792752e-7
2.0,7715.335983352682,5.497254560701087e6,2006.0219378621075,1640.7619493431216,2.4994783340149047e6,572.244929454924,12796.811892851207,9.7952659767158,0.02957227612432908,26399.53026904892,5.096461568821665,8.376164503658521e-5,534.6440519355081,5.499998187506229e8,133.02636016757313,39.49322520678515,1.199999930443909e6,0.12036553354137729,79999.98167416491,26399.995727363184,0.003798777099126866,0.002403691208966444,0.2028932738391191,3.096721116308377e-6,47999.99067958228,0.008808427588336394,1.5867489946240304e-8,1.8319862255919762e-8,1.6923287987959613e-8,400000.0,6.197502305992744e-12,3.018805225159512e-10,3.524524059631848e-6,0.0001299656139004943,9.731757271150472e-7
2.5,16526.684626329294,5.494130472485225e6,4294.250166067046,3506.8644544253666,2.4988805230215304e6,1223.3067281035976,12792.99403349727,21.48264452943547,0.07865592047617055,26398.96760796814,11.110020197123058,0.00019800201749928993,1225.945948647496,5.499995670472257e8,311.8341984540707,97.04031386362148,1.1999998055579567e6,0.30357266930526133,79999.95336459103,26399.98390300708,0.014272049731894243,0.008941443690155447,0.6168923794003409,2.1979857929447456e-5,47999.96600366091,0.031739629862221765,6.980932152929656e-8,8.040259371991195e-8,7.418418411779492e-8,399999.99999999994,1.4975765738949202e-10,2.8177033283135037e-9,1.0974601537285305e-5,0.00034115609224839773,2.7467261548145294e-6
3.0,35361.65224500685,5.487449571292896e6,9184.370853327715,7500.552554668451,2.4976060085892673e6,2611.8708701315204,12784.842236330174,46.425612211334574,0.18730969594289418,26397.765704751066,23.935529663292414,0.00044499643240284586,2760.8316326437925,5.499989961126323e8,714.2446219144462,228.76448927025302,1.199999507562837e6,0.728019391613504,79999.85429883181,26399.950170728105,0.044074376926731024,0.025917339450703326,1.6534807829597653,0.00010139591276398394,47999.89676844863,0.09538157857138638,2.424522494338733e-7,2.7862844928752823e-7,2.5680082507731605e-7,399999.9999999974,2.6144558102432174e-9,2.025458276833823e-8,2.980007326896634e-5,0.0008342931201744438,6.878159927419658e-6
3.5,75624.67872034965,5.473192980542705e6,19614.004520878018,16032.86003168032,2.4949016082283687e6,5559.3258775829245,12767.486673471793,99.51602100240444,0.42301616923050694,26395.204417384994,51.2431139183769,0.0009748760407431933,6138.4752024571,5.499977201800832e8,1608.1265765979258,525.3659738987674,1.1999988134182678e6,1.6947161816217953,79999.58769566914,26399.862942140007,0.12099393809860269,0.06701073827787081,4.122140676515429,0.0003636740859385602,47999.71941735689,0.25704585077936254,7.261568024006377e-7,8.328973071926099e-7,7.669238122565965e-7,399999.99999996234,3.7826246899202636e-8,1.2561311605950404e-7,7.486212566664621e-5,0.0019604213780656473,1.6385677640548465e-5
4.0,161569.64085682822,5.442877286157968e6,41773.71623586139,34216.06795926996,2.4892177563113524e6,11757.918790241154,12730.759966089672,211.83485992189134,0.9294218713339316,26389.773683425443,109.09626358868739,0.0021055172581245355,13520.608877080847,5.499948990573479e8,3575.4889013617044,1184.9090457234938,1.1999972331129622e6,3.860546742555749,79998.93448956053,26399.650234370678,0.3083306754637968,0.16302580915587098,9.825163429553246,0.0011141346151995813,47999.28940591164,0.6466023914995053,1.9736345771490295e-6,2.260033086652603e-6,2.0793518773869363e-6,399999.9999995147,4.87235413947927e-7,7.113246180996802e-7,0.0001793046352947134,0.004491041345205619,3.79085048374342e-5
4.5,344439.9678641247,5.378895562248731e6,88462.66569166341,72771.24216798345,2.4775074258670756e6,24544.58295325559,12654.014687096464,446.45313806813664,2.0101011454336337,26378.378203014014,230.3349409684742,0.004501811565829061,29559.00042406873,5.49988712398169e8,7874.550273483136,2637.706471908167,1.199993691584322e6,8.657223736901932,79997.40578228109,26399.150772337613,0.7480148202877168,0.38225782788126145,22.73146300923946,0.003077912229836372,47998.28322474322,1.5541114433524665,5.0221625112041485e-6,5.743097755376175e-6,5.280458417548509e-6,399999.99999421404,5.809455368356542e-6,3.791853433084347e-6,0.00041621461474385465,0.010110113837092831,8.595899819064697e-5
