t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082439807227,5.499689668698588e6,255.7240561339444,111.56592096861199,2.4999501838992205e6,60.62328356101928,15999.82071923332,0.5594004141785521,8.672187497851172e-20,32999.97358796381,0.30671737010830785,1.59449804880052e-6,41.26542706449375,5.499999934859208e8,5.8017056644386455,0.6736609233804307,1.2000000025295597e6,0.0,99999.99952747759,32999.99999769321,2.3001797767105653e-6,4.8043510637185806e-20,0.0004708117991026766,-1.90041551213836e-47,59999.99999332046,6.586462540046869e-6,2.9028030138838088e-12,3.377969625629883e-12,3.132691049054668e-12,400000.0,3.0136914558898475e-18,4.717789661234806e-15,5.564874758308862e-9,8.016282274334832e-7,1.0324383208796248e-22
1.0,1663.5766437998927,5.4993695643317355e6,468.34331618521776,346.49198716702625,2.499886783833326e6,129.0373627644018,15999.308907641938,2.1416544946341127,0.0014399107484632508,32999.89818524149,1.146604071109544,1.1694687240970648e-5,96.92502096369756,5.49999973674518e8,21.243989810055155,4.522595914002561,1.2000000055952372e6,0.004324380209278797,99999.98990438094,32999.99984216288,0.0001568955391256557,4.764774804072776e-6,0.011933652357953387,3.1313726928149356e-9,59999.99965256197,0.00033767225604192677,3.0391355651722683e-10,3.527308340841089e-10,3.26689649219026e-10,400000.0,3.4405904359708843e-15,1.2548269829699265e-12,1.803401998554142e-7,9.892058200602582e-6,8.277232039932582e-9
1.5,3582.731125968166,5.498707043101786e6,943.1755286811087,768.0278645308268,2.4997574584510275e6,268.72197660247076,15998.25031386123,5.393904956466188,0.010724252280045685,32999.742220622575,2.837176540222904,3.977572615967455e-5,228.0958202612902,5.499999274964633e8,54.99835635225347,14.832370578673087,1.1999999790520426e6,0.04427854623703793,99999.99287894595,32999.998299483916,0.0016850330260358786,0.0005450895720107449,0.07662231503890823,4.460730877251841e-7,59999.99663664433,0.0032221253186113675,4.3859304229844e-9,5.076928643742618e-9,4.695915751598276e-9,400000.0,3.6156062270402943e-13,4.412010460685355e-11,1.2716832689490866e-6,4.276202199034989e-5,2.574432806753502e-7
2.0,7715.307732726023,5.497254565610937e6,2006.0177499877984,1640.7577477219106,2.499478334786222e6,572.2439814057014,15996.014868574095,12.24407465472738,0.03696534292962209,32999.41283668108,6.370572703877521,0.00010470202805738187,534.643394244345,5.49999818750716e8,133.02627918346994,39.49321367960245,1.1999999152025506e6,0.1337394745591846,100000.03786926964,32999.99090505981,0.008984794364005051,0.0038948711911404063,0.2958860841201527,7.318960580517561e-6,59999.98300968227,0.016057027404225863,2.8925109313087105e-8,3.339557926396501e-8,3.0849740977480354e-8,400000.0,1.5137475599480888e-11,6.611548183923854e-10,5.1463510552281775e-6,0.0001299655938368968,1.0813063357634134e-6
2.5,16526.515041613296,5.494130504405402e6,4294.223316572906,3506.836674877408,2.4988805281002964e6,1223.3005392599728,15991.242560208466,26.8532486324221,0.09831987485700537,32998.70951266302,13.88749430578344,0.000247502289550675,1225.9415721882967,5.499995670479201e8,311.8336068248929,97.04021835968864,1.199999766092756e6,0.337302875765529,100000.13241815845,32999.965721412525,0.0337697147968501,0.014488463917282502,0.8996353423652796,5.197201365137727e-5,59999.93802775021,0.05785868169592054,1.272565507741361e-7,1.4656719930082658e-7,1.3523155897163855e-7,399999.9999999997,3.638486598583807e-10,6.162042208575973e-9,1.6029662915393432e-5,0.00034115590778948133,3.051917540317164e-6
3.0,35360.74377107981,5.487449751020898e6,9184.221161183379,7500.396840071261,2.4976060373596163e6,2611.836021202569,15981.052907084955,58.03166829792905,0.23413690746503896,32997.20714740874,29.919224357496706,0.0005562439979198001,2760.8064231353164,5.499989961169523e8,714.2409922661494,228.76384117940975,1.1999994115668046e6,0.8089096655014583,100000.31934716996,32999.89386486385,0.10431057454445092,0.04199578750599726,2.4113304343251505,0.00023985561780749256,59999.81181922134,0.17387251184809852,4.4197002658870804e-7,5.0791618992588e-7,4.68126269169784e-7,399999.99999999366,6.368199536269283e-9,4.4455294576174314e-8,4.3532551398321394e-5,0.0008342917736810572,7.64239619566202e-6
3.5,75620.12549720418,5.47319390802455e6,19613.23721417254,16032.061601905878,2.494901756251147e6,5559.147167926093,15959.358946285478,124.39314969937236,0.5287687972438512,32994.00561099,64.05287847637405,0.0012185861589040462,6138.342191743594,5.499977202040869e8,1608.106610866795,525.362107042694,1.199998588039461e6,1.8830127728396229,100000.71078181162,32999.70803967613,0.28639234982432377,0.10858281758327662,6.011480215027047,0.0008605384567497422,59999.48853210266,0.4685719992392698,1.3237216043923202e-6,1.5183003799709883e-6,1.3980363483836686e-6,399999.9999999078,9.248016093278074e-8,2.767353198364839e-7,0.00010936775397589944,0.0019604129337910674,1.8206284385898512e-5
4.0,161547.7278575996,5.442881813431281e6,41769.98823358808,34212.18169684961,2.4892184663867964e6,11757.06169010613,15913.452971652066,264.78422339181174,1.1617691743860752,32987.21755056036,136.36527356679798,0.002631850024736399,13519.944468630318,5.499948991814848e8,3575.3863858257314,1184.8878381414384,1.1999967167432657e6,4.28946591301475,100001.55025668297,32999.2549162625,0.7298706515824063,0.26416562417122913,14.328498742793107,0.002636798740634647,59998.70470867262,1.1786947033001058,3.597759370299182e-6,4.119838129308056e-6,3.7904723958395078e-6,399999.99999880965,1.1949502907161463e-6,1.5716401023443698e-6,0.0002619614686746175,0.004490993557898345,4.212045556688126e-5
4.5,344337.31619576534,5.37891678010066e6,88445.25754300335,72752.95943840992,2.477510613194968e6,24540.719979395744,15817.532395799359,558.0228957680744,2.5125836883947734,32972.97484389009,287.89505336358013,0.00562703775428277,29555.79824101691,5.499887130108796e8,7874.046841957877,2637.5965414926777,1.1999925288608673e6,9.618974732209184,100003.3627862308,32998.19108302051,1.770750206822037,0.6194185795799504,33.15075292783669,0.007285276546639121,59996.870799384196,2.8329711965617275,9.154909499375034e-6,1.0469102925227815e-5,9.625756510540932e-6,399999.9999857773,1.4280105382818786e-5,8.39517490330672e-6,0.0006081053279148599,0.010109862576668146,9.550995557631114e-5
