t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,70000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,10.0
0.5,931.0082702785294,5.499689668696522e6,255.72405806625218,111.56592123502452,2.4999501838989235e6,60.62328394598419,11199.874503463074,0.39158029073368894,-1.5932309275306587e-20,23099.981511574646,0.2147021595257834,1.1161486351483632e-6,41.26542732163508,5.499999934859207e8,5.801705677091864,0.6736609240121068,1.2000000025295604e6,0.0,69999.99952747757,23099.999997693223,1.8401438208046918e-6,3.074784689563127e-20,0.00047081179874806976,2.6070973978417683e-51,41999.99999532434,4.610523776169733e-6,2.031962109249706e-12,2.3645787373946388e-12,2.1928837338313974e-12,400000.0,1.9287625464674875e-18,3.774231745110363e-15,5.5648747553373e-9,8.016282278180738e-7,6.607605291337087e-23,10.0
1.0,1663.5772078388889,5.499369564259508e6,468.343380594258,346.49201833483386,2.4998867838224685e6,129.0373764679388,11199.516235332587,1.499158198712757,0.0010079375248094697,23099.928729666564,0.8026228786915808,8.186281189056688e-6,96.92503019382814,5.499999736745167e8,21.24399060373057,4.522595987139211,1.20000000648186e6,0.003459504167619828,69999.98920989344,23099.999842164267,0.00012551530211161747,3.8118196766596187e-6,0.011933652097254784,2.505098153806662e-9,41999.999756793404,0.00023637057640949884,2.12739488084225e-10,2.4691158214024943e-10,2.2868275285999856e-10,400000.0,2.2019764156840546e-15,1.0038587853464367e-12,1.80332604596253e-7,9.892058282940048e-6,6.621785632077309e-9,10.0
1.5,3582.736912278929,5.498707042209916e6,943.1763035203879,768.0285412229711,2.4997574583134274e6,268.72214761884493,11198.775219432282,3.7757343133844947,0.0075069767046754225,23099.819554395937,1.9860240400547333,2.7843010886695507e-5,228.09593693763762,5.499999274964489e8,54.9983689080248,14.832372093387649,1.199999988693462e6,0.035422837282015174,69999.96746066656,23099.998300616553,0.0013471218769551035,0.0004360715506812599,0.07662230235255496,3.5685778867701253e-7,41999.99764564927,0.002255487521927285,3.070151140277532e-9,3.5538498697018793e-9,3.287140858521211e-9,400000.0,2.313343514663844e-13,3.52812495798593e-11,1.2701011770286071e-6,4.276202424803136e-5,2.0595462532860483e-7,10.0
2.0,7715.35010870952,5.497254558246158e6,2006.0240318039068,1640.7640501582587,2.4994783336292463e6,572.2454034805229,11197.210405366288,8.570860465288956,0.025875742387816286,23099.588985288385,4.459405362723523,7.329144929044735e-5,534.644379248998,5.499998187505753e8,133.02640051709298,39.49323084487433,1.1999999456852537e6,0.10699158824983258,69999.91552124622,23099.990921405577,0.007174821686346576,0.0031158942381976007,0.2958858831365215,5.853113004178067e-6,41999.98810674897,0.011239914988937554,2.0247572196473252e-8,2.337690047340863e-8,2.159481404544496e-8,400000.0,9.677621401045905e-12,5.282388509672408e-10,5.133509486676011e-6,0.00012996562378499437,8.650451026009101e-7,10.0
2.5,16526.769419413256,5.494130456525043e6,4294.263590897406,3506.878344290581,2.4988805204821345e6,1223.3098225432018,11193.8697728922,18.797333923611923,0.06882393942502976,23099.09665602618,9.721278501741343,0.00017325184662528965,1225.9481168652953,5.499995670468796e8,311.83449215541276,97.04035897249236,1.199999845023081e6,0.2698424090956317,69999.75281455205,23099.965810550715,0.02694487519192161,0.011590742467476356,0.8996334852948991,4.1525235532181533e-5,41999.95661917642,0.04050103086230351,8.907952724589522e-8,1.0259697202611717e-7,9.466202885828153e-8,399999.9999999998,2.3244002314024986e-10,4.919709120037498e-9,1.5979581870948672e-5,0.00034115618069042856,2.441534544031619e-6,10.0
3.0,35362.106491788065,5.48744948142754e6,9184.445700587845,7500.630413317963,2.497605994203891e6,2611.888294850483,11186.736917703263,40.622532124281506,0.16389605831249923,23098.044985892724,20.943654158594367,0.0003893724182604094,2760.844040548768,5.499989961104975e8,714.2464138783967,228.76478022746724,1.19999960355853e6,0.6471286576617636,69999.31212464908,23099.89418832233,0.08319046968065962,0.03359641782775246,2.4113172983883393,0.0001914795374371533,41999.868271752915,0.12171039197240999,3.0937849176465504e-7,3.5554072381253387e-7,3.2768782532325386e-7,399999.999999996,4.066155041185804e-9,3.5476339662898836e-8,4.3384256332537705e-5,0.0008342937393413817,6.113921792146421e-6,10.0
3.5,75626.95544820778,5.473192516785157e6,19614.388188721692,16033.259263304653,2.494901534214532e6,5559.415235478456,11171.550627727012,87.07717518589477,0.37013964308290603,23095.803833970655,44.8380795593755,0.00085301964790756,6138.540119739166,5.499977201683112e8,1608.1363607205528,525.3676045540144,1.199999038795806e6,1.506416467035095,69998.22595286222,23099.708992732518,0.22834554679047847,0.08686492694562875,6.011399684653579,0.0006865701716496589,41999.641962193,0.32799799171272126,9.266013422103731e-7,1.062805898788756e-6,9.786214086754073e-7,399999.99999994127,5.903155959955391e-8,2.2078219536338266e-7,0.00010897962112747794,0.001960425062893665,1.4565061902485496e-5,10.0
4.0,161580.59862667418,5.442875022336757e6,41775.580397169215,34218.01127762865,2.48921740124765e6,11758.347373004279,11139.413915360832,185.35877562754538,0.8132469951347122,23091.05181679186,95.4610003037027,0.0018423438932017938,13520.929989441793,5.49994898997008e8,3575.5386849253973,1184.9173851178198,1.1999977494784708e6,3.43160921541717,69995.67166502397,23099.257391288258,0.5818456688808584,0.21132491964832656,14.32804467719288,0.002102941645661222,41999.093238714944,0.82507209411114,2.518407931543808e-6,2.8838594182575463e-6,2.653305486957805e-6,399999.99999924045,7.626427391500421e-7,1.2536899017461988e-6,0.0002610073935865928,0.004491061065918403,3.3696563478774956e-5,10.0
4.5,344491.30684118625,5.378884951421282e6,88471.3714105162,72780.38549063049,2.4775058319610604e6,24546.514749228438,11072.257937756569,390.66173183921114,1.7588534629608008,23081.080196015377,201.55134225415028,0.003939164472099187,29560.531873738037,5.499887121033262e8,7874.7922612728025,2637.746649731943,1.1999948542954081e6,7.695374165624333,69989.8300140928,23098.196898175396,1.4114593187509734,0.49549380524830827,33.14832616481919,0.005808871524190432,41997.80925643035,1.983001624514336,6.408301274807395e-6,7.328215872638161e-6,6.73788534260439e-6,399999.99999092316,9.113711481007016e-6,6.6964119848019016e-6,0.0006058371924985528,0.010110212693909217,7.640890380421397e-5,10.0
5.0,731154.6724639697,5.245947007665529e6,185130.32167148578,153696.4997151164,2.4543145244583962e6,49930.9202608704,10935.441751267552,808.6304758669443,3.7604422491803087,23060.589663934323,419.0149851885097,0.008330585465368762,64200.267122390454,5.499752373073671e8,17210.819627323497,5813.91505574333,1.1999884262558613e6,17.058730965000365,69976.74240399766,23095.770963054514,3.3099043668981243,1.1337671242835017,75.08842978680188,0.014958481310592672,41994.878175303835,4.618360411920172,1.5573045242348586e-5,1.7788711252119927e-5,1.6346903039758025e-5,399999.9998974506,0.00010297320448542855,3.422576832831898e-5,0.0013756687223768947,0.022473144732666952,0.00017078529573394543,10.0
5.5,1.5372644170594322e6,4.978784726600247e6,377876.0442577266,319769.99771778006,2.411659074868338e6,96819.97423628544,10669.860630887393,1618.8471944052594,7.938120997602755,23020.123528366934,846.3883779927401,0.017323456662406318,138440.4110228469,5.499460886812289e8,37350.20692794663,12710.712647014663,1.1999742665748908e6,37.48073167790143,69947.97445651134,23090.33279023436,7.574161284594135,2.550223945854828,167.33918727014841,0.036677344925314895,41988.312143887226,10.512507184774794,3.661258845978501e-5,4.178390093142661e-5,3.8380511866193564e-5,399999.99889228056,0.0011123807960892065,0.00016881412136165961,0.00307180845076056,0.04946873692128924,0.000377733739438006,10.0
6.0,3.1707008516705954e6,4.47708287539262e6,733769.1898562133,645541.2112427782,2.3421676734474637e6,173668.29420297215,10195.42712186885,3062.366990985589,16.43189325038104,22945.440873740714,1627.9462682578703,0.03502182979534268,295672.49892784416,5.498835601647696e8,80412.49116854086,27576.21866145625,1.1999432410795568e6,81.74076833949677,69886.1938353268,23078.367788009313,17.005743820638507,5.665549891672805,367.50591886399656,0.08682006430259234,41973.848745197276,23.498558482800732,8.396959833526998e-5,9.575938049443445e-5,8.792847343138905e-5,399999.98853896454,0.01151016059673331,0.0008042543894629172,0.006759346958397069,0.10800035765457519,0.0008293237797443665,10.0
6.0,3.1707008516705954e6,4.47708287539262e6,733769.1898562133,645541.2112427782,2.3421676734474637e6,173668.29420297215,10195.42712186885,3062.366990985589,16.43189325038104,22945.440873740714,1627.9462682578703,0.03502182979534268,295672.49892784416,5.498835601647696e8,80412.49116854086,27576.21866145625,1.1999432410795568e6,81.74076833949677,69886.1938353268,23078.367788009313,17.005743820638507,5.665549891672805,367.50591886399656,0.08682006430259234,41973.848745197276,23.498558482800732,8.396959833526998e-5,9.575938049443445e-5,8.792847343138905e-5,399999.98853896454,0.01151016059673331,0.0008042543894629172,0.006759346958397069,0.10800035765457519,0.0008293237797443665,7.5
6.5,6.301122203846491e6,3.6515581131411106e6,1.2979921112547102e6,1.2305331863596023e6,2.246153846625936e6,280253.58209221344,9445.608733459278,5332.841842792666,32.91924292463474,22820.52824920274,2914.660810139154,0.06776277709197243,576154.2371532578,5.497573512842364e8,165593.35298213692,58694.595562783266,1.1998730534097208e6,176.9741696105061,69758.66689719885,23052.6224721759,37.542059697490416,12.478448183476484,793.5807246804958,0.20019836293039345,41942.593892520585,51.64918539438062,0.00018876920055401885,0.00021514050665589639,0.0001974883811573692,399999.89695171133,0.10351946610603459,0.0034692864777221507,0.014634353455154353,0.23321150366240315,0.0018156960920483378,7.621926438748215
7.0,1.1724414357537974e7,2.5776855838718736e6,1.9722839432381082e6,2.127188986931102e6,2.134626739794981e6,402786.8831550452,8424.766477106656,8399.198977617876,62.698347705601314,22634.686096548685,4782.3581156299,0.12359992480308714,1.140468572390157e6,5.495081607671505e8,331867.5671811262,120872.41405099967,1.199718451090906e6,377.05465492344,69520.05919045047,22999.152550798655,81.27588524234224,27.396101069372087,1665.9821019269643,0.45214582605227516,41877.06031055898,111.17382519051644,0.0004164335800412979,0.00047433898594854165,0.00043530019404748057,399999.14318441105,0.8608583560179501,0.014336292577373117,0.0308704719436112,0.49153086453621003,0.004006029261027717,7.737906454910102
