t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,10.0
0.5,931.0082439807227,5.499689668698593e6,255.72405613394469,111.56592096861213,2.499950183899218e6,60.62328356101922,15999.820719233323,0.5594004141785516,-1.6575863496497835e-21,32999.97358796386,0.30671737010830785,1.5944980488005203e-6,41.265427064489096,5.499999934859213e8,5.8017056644385105,0.6736609233804272,1.2000000025295592e6,0.0,99999.99932496794,32999.9999952923,4.694244439859193e-6,1.4006854391279295e-19,0.0006725882837499945,-2.7715910301749414e-47,59999.999990457785,9.40923219107772e-6,4.1468614460795734e-12,4.825670891047757e-12,4.47527292470724e-12,400000.0,6.15039072490262e-18,9.628142162506415e-15,7.949821077483724e-9,8.016282274334831e-7,2.1070169810519923e-22,10.0
1.0,1663.5766437998939,5.499369564331737e6,468.34331618521793,346.4919871670265,2.4998867838333263e6,129.03736276440168,15999.30890764195,2.1416544946341096,0.001439910748463253,32999.89818524153,1.1466040711095427,1.1694687240970632e-5,96.9250209615655,5.499999736745183e8,21.243989809934124,4.522595913991366,1.2000000055952368e6,0.004324380209278768,99999.98557768736,32999.999677883396,0.0003201949726517817,6.806820888717548e-6,0.0170480743848094,6.3905565140023985e-9,59999.999503659965,0.00048238892523808574,4.3416221720010834e-10,5.039011841109709e-10,4.666994919890029e-10,400000.0,7.01698359823083e-15,2.5560510933932144e-12,2.576288517701239e-7,9.89205820059603e-6,8.277232040156924e-9,10.0
1.5,3582.7311259681765,5.4987070431017885e6,943.1755286811119,768.0278645308292,2.499757458451028e6,268.7219766024714,15998.250313861243,5.3939049564662,0.010724252280045681,32999.74222062265,2.8371765402229134,3.9775726159674666e-5,228.09582015964023,5.499999274964639e8,54.99835634441474,14.832370574709001,1.1999999790520417e6,0.04427854623702351,99999.98982706582,32999.99652955925,0.003438842631317398,0.0007786993519399847,0.10946044510767367,9.103532315772695e-7,59999.99519520673,0.004603035643012501,6.2656144199468426e-9,7.252754659875182e-9,6.708450568538505e-9,400000.0,7.168289510514081e-13,8.681005917932164e-11,1.8166902998489406e-6,4.276202198696311e-5,2.5744328070406013e-7,10.0
2.0,7715.307732726022,5.49725456561094e6,2006.017749987799,1640.7577477219113,2.499478334786223e6,572.2439814057014,15996.014868574108,12.244074654727378,0.036965342929621885,32999.41283668114,6.370572703877528,0.00010470202805738185,534.6433921199256,5.499998187507167e8,133.02627898744566,39.49321345685898,1.19999991520255e6,0.1337394745561066,100000.05409896128,32999.981438901654,0.018336310943758573,0.005564102018683408,0.42269442245095806,1.4936653447939239e-5,59999.97572812486,0.022938603505004342,4.1321576455137896e-8,4.770796078872962e-8,4.407104966755331e-8,400000.0,2.9366278920911577e-11,1.2789934430610987e-9,7.351930256219558e-6,0.0001299655935766332,1.081306337104472e-6,10.0
2.5,16526.515041613293,5.494130504405403e6,4294.223316572906,3506.8366748774074,2.498880528100298e6,1223.3005392599728,15991.242560208479,26.853248632422094,0.09831987485700654,32998.70951266308,13.887494305783456,0.000247502289550675,1225.9415434693733,5.499995670479242e8,311.8336038267543,97.04021362901852,1.1999997660927544e6,0.3373028756404949,100000.18916885999,32999.93004374328,0.06891774138641554,0.02069781176229477,1.2851936820834298,0.00010606531856344545,59999.91146828553,0.08265519150718667,1.8179498291830842e-7,2.093816096042652e-7,1.9318784551029676e-7,399999.9999999993,7.028947271782964e-10,1.1904350465446137e-8,2.2899523689826105e-5,0.00034115590102361525,3.05191757573862e-6,10.0
3.0,35360.74377107933,5.4874497510209e6,9184.221161183255,7500.39684007116,2.497606037359618e6,2611.836021202535,15981.052907084968,58.03166829792829,0.2341369074650377,32997.20714740881,29.91922435749635,0.0005562439979197926,2760.8061312972422,5.499989961169912e8,714.2409587651928,228.7637817348272,1.199999411566792e6,0.8089096630025358,100000.45621069845,32999.783398081214,0.21287832737343268,0.05999402902715488,3.4447601021007164,0.0004895010772328083,59999.73117089125,0.24838875279477673,6.313849687108904e-7,7.255936511881996e-7,6.687509757590166e-7,399999.9999999877,1.2323467626509617e-8,8.610058876220654e-8,6.218939764637265e-5,0.0008342916766177268,7.64239686248234e-6,10.0
3.5,75620.12549720392,5.473193908024551e6,19613.237214172477,16032.061601905822,2.494901756251148e6,5559.147167926078,15959.358946285492,124.39314969937203,0.5287687972438542,32994.00561099006,64.05287847637396,0.0012185861589040436,6138.33977480848,5.499977202044344e8,1608.1063114380972,525.3615620076347,1.199998588039363e6,1.8830127394952136,100001.01540574,32999.40416563701,0.5844711807995255,0.155118599702964,8.587841253046388,0.001756199142102975,59999.26933560269,0.6693847314321077,1.891025001500861e-6,2.168993770611629e-6,1.997188525461048e-6,399999.99999982124,1.794413258215519e-7,5.374202597534577e-7,0.00015623985704154227,0.00196041196698952,1.8206294605001603e-5,10.0
4.0,161547.72785759933,5.4428818134312825e6,41769.98823358803,34212.18169684957,2.489218466386799e6,11757.06169010612,15913.45297165208,264.78422339181174,1.1617691743860787,32987.21755056044,136.3652735667981,0.0026318500247364002,13519.927245816842,5.499948991841443e8,3575.3841158731316,1184.8837571156112,1.199996716742612e6,4.2894655742440575,100002.21467330969,32998.479440954616,1.489512137128339,0.3773812382313787,20.46934202355409,0.005381207255171986,59998.14960899799,1.683825637937117,5.1396175386149076e-6,5.885438354289784e-6,5.414919283840127e-6,399999.99999768526,2.323827387581824e-6,3.0584842531990667e-6,0.0003742316646053318,0.004490986037513237,4.2120592971421385e-5,10.0
4.5,344337.3161957647,5.378916780100661e6,88445.25754300319,72752.9594384098,2.477510613194971e6,24540.719979395715,15817.532395799373,558.0228957680742,2.5125836883947956,32972.97484389017,287.8950533635805,0.005627037754282773,29555.688411332638,5.49988713028885e8,7874.031608760917,2637.5698710604256,1.199992528857069e6,9.618971909543795,100004.80410658695,32996.30845206072,3.6136577675755057,0.884895822467693,47.35847671978337,0.014867807911751137,59995.52985828511,4.046964242065617,1.3078209683780697e-5,1.4955593071999105e-5,1.3750832988917837e-5,399999.99997229484,2.7817027663188964e-5,1.636177736501494e-5,0.0008687264014951145,0.010109814266928455,9.551164724649842e-5,10.0
