t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l,a7
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0,10.0
0.5,931.0082615125935,5.499689668697215e6,255.7240574221496,111.56592114622043,2.4999501838990212e6,60.62328381766252,12799.856575386466,0.44752033195899604,1.1114223000418662e-20,26399.978870371026,0.24537389642947888,1.2755984397931772e-6,41.26542723592004,5.499999934859211e8,5.801705672874088,0.6736609238015474,1.2000000025295597e6,0.0,79999.99945997441,26399.99999698708,2.7038847977310355e-6,5.808922670270065e-20,0.0005380706270937668,5.279967841292904e-54,47999.99999389298,6.021908604502888e-6,2.653991326074955e-12,3.0884293709508318e-12,2.864174672443801e-12,400000.0,3.18836256847235e-18,5.545809902656304e-15,6.3598568628240865e-9,8.016282276898776e-7,1.0922776072484796e-22,10.0
1.0,1663.5770198258626,5.499369564283586e6,468.34335912457584,346.49200794556356,2.4998867838260834e6,129.03737190009235,12799.447126100771,1.7133236356835713,0.001151928599445053,26399.918548191272,0.9172832789180312,9.355749884492473e-6,96.9250271165395,5.499999736745185e8,21.243990339139252,4.522595962757225,1.2000000060385484e6,0.0038919421884984623,79999.98804322215,26399.99979384631,0.0001844314762981675,4.9009110255503965e-6,0.013638459532932207,3.68096055237685e-9,47999.99968234232,0.0003087289148202288,2.778638204536045e-10,3.224967595119657e-10,2.986876764312905e-10,400000.0,3.6390031330716275e-15,1.4739030098963633e-12,2.0609874345187418e-7,9.89205825549241e-6,7.449508836097558e-9,10.0
1.5,3582.7349835074933,5.498707042507208e6,943.1760452405186,768.0283156588475,2.499757458359291e6,268.72209061336366,12798.600250882824,4.315124608112411,0.00857940190681251,26399.793776467657,2.269741584101091,3.182058288958574e-5,228.0958980179039,5.499999274964551e8,54.99836472063922,14.832371587357983,1.199999983872753e6,0.03985069183261917,79999.97652650984,26399.997779657413,0.001980108884772087,0.0005606634747942811,0.08756835084224261,5.243629634856339e-7,47999.9969249308,0.002945942886795408,4.009993308827889e-9,4.641763075178357e-9,4.2934084498379755e-9,400000.0,3.7791638273604396e-13,5.107730487972786e-11,1.4524482217332774e-6,4.276202349451269e-5,2.316989532067918e-7,10.0
2.0,7715.335983352899,5.497254560701089e6,2006.021937862164,1640.7619493431675,2.4994783340149024e6,572.2449294549396,12796.811892851216,9.795265976716088,0.02957227612433033,26399.530269048933,5.0964615688218124,8.376164503658799e-5,534.6440503338681,5.499998187506238e8,133.02636001910017,39.49322505964255,1.199999930443909e6,0.12036553353925293,79999.96945694396,26399.988131568087,0.010552155356695696,0.004006151496964309,0.338155414940599,8.602002512719892e-6,47999.984465976886,0.014680706470132098,2.6445809501527728e-8,3.0533095563022396e-8,2.8205472395223222e-8,400000.0,1.5676542094676885e-11,7.598186407116837e-10,5.874206068154358e-6,0.00012996561372822428,9.731757280067656e-7,10.0
2.5,16526.684626328668,5.494130472485226e6,4294.250166066884,3506.864454425234,2.498880523021529e6,1223.3067281035505,12792.994033497282,21.482644529434644,0.07865592047616705,26398.967607968156,11.110020197122628,0.00019800201749928172,1225.9459274074004,5.499995670472289e8,311.83419622242775,97.0403107521681,1.1999998055579562e6,0.3035726692193422,79999.92227433794,26399.955286170225,0.03964454743057116,0.014902402815593225,1.0281537390799678,6.105514886814241e-5,47999.94333949851,0.05289932201769948,1.1634878953287328e-7,1.3400423066635566e-7,1.236402215986409e-7,399999.9999999997,3.760225852511606e-10,7.075157893252056e-9,1.8290998880920885e-5,0.0003411560877953922,2.746726178440179e-6,10.0
3.0,35361.65224500994,5.487449571292894e6,9184.370853328517,7500.552554669107,2.497606008589266e6,2611.870870131746,12784.842236330183,46.42561221133866,0.18730969594291133,26397.76570475108,23.935529663294506,0.0004449964324028864,2760.831420628918,5.499989961126611e8,714.2445974206606,228.7644502513813,1.1999995075628283e6,0.7280193899209567,79999.75716494252,26399.86158570208,0.12242851618333651,0.04319554072590349,2.755799624961535,0.0002816551661915482,47999.82794792893,0.1589688057133142,4.040863803972865e-7,4.6437993724012856e-7,4.280006249256464e-7,399999.9999999936,6.584132167330049e-9,5.1083289525117074e-8,4.9666761942071017e-5,0.0008342930564574879,6.8781603719399796e-6,10.0
3.5,75624.6787203497,5.473192980542705e6,19614.00452087803,16032.860031680333,2.4949016082283687e6,5559.325877582927,12767.486673471803,99.51602100240454,0.42301616923050894,26395.204417385008,51.243113918376935,0.0009748760407431939,6138.473471193621,5.499977201803342e8,1608.1263609319212,525.365616535422,1.1999988134181951e6,1.6947161594434714,79999.31282814064,26399.619286275378,0.3360919980322362,0.11168439315506094,6.870222333773493,0.0010102043836462782,47999.53236582276,0.42840635775602676,1.2102561268176574e-6,1.388156159212025e-6,1.2782007915115036e-6,399999.9999999047,9.570478122336714e-8,3.182983743088959e-7,0.0001247700138369804,0.0019604207444105636,1.6385684444552155e-5,10.0
4.0,161569.64085682784,5.442877286157968e6,41773.71623586129,34216.06795926987,2.4892177563113524e6,11757.918790241123,12730.759966089685,211.83485992189102,0.9294218713339351,26389.773683425457,109.09626358868715,0.00210551725812453,13520.596668192196,5.499948990592436e8,3575.487285005156,1184.9063715923053,1.1999972331124754e6,3.860546521018872,79998.22416428779,26399.028445299282,0.8564594123346249,0.27170872213851216,16.375194322079786,0.003094807124428762,47998.81569852013,1.077649744371177,3.2893569481640338e-6,3.766682541813199e-6,3.4655501870432497e-6,399999.9999987672,1.2376661049980262e-6,1.8090896158048497e-6,0.00029883978676056746,0.004491036422481888,3.79085962228085e-5,10.0
4.5,344439.9678640915,5.378895562248741e6,88462.665691655,72771.24216797651,2.477507425867077e6,24544.58295325332,12654.01468709649,446.45313806809514,2.0101011454334494,26378.378203014025,230.3349409684525,0.004501811565828628,29558.923152982523,5.499887124108924e8,7874.539516446301,2637.6890018928134,1.1999936915814527e6,8.657221916046348,79995.67639884693,26397.641131166252,2.0777326508330547,0.6370923937751714,37.885315368845745,0.008549678683683469,47997.13883324151,2.5900668637059057,8.37006872717055e-6,9.571596360619684e-6,8.800548636066569e-6,399999.99998525874,1.4800781901571107e-5,9.66924397126166e-6,0.0006936835431697522,0.010110082262050879,8.596012232482395e-5,10.0
