t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,12800.0,0.0,0.0,26400.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,80000.0,26400.0,0.0,0.0,0.0,0.0,48000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082615125937,5.499689668697213e6,255.72405742214957,111.56592114622035,2.4999501838990212e6,60.62328381766252,12799.85657538646,0.4475203319589959,-9.340579050742043e-21,26399.97887037102,0.2453738964294788,1.275598439793177e-6,41.26542723592003,5.499999934859214e8,5.80170567287409,0.6736609238015473,1.200000002529559e6,0.0,79999.99945997435,26399.999996987066,2.70388479773103e-6,5.808922670266784e-20,0.0005380706270937661,7.061245096362937e-52,47999.99999389299,6.021908604502879e-6,2.653991326074951e-12,3.088429370950826e-12,2.8641746724437956e-12,400000.0,3.188362568472254e-18,5.545809902656301e-15,6.359856862824078e-9,8.01628227689877e-7,1.0922776072486618e-22
1.0,1663.5770198258087,5.499369564283585e6,468.3433591245624,346.4920079455503,2.499886783826085e6,129.0373719000884,12799.447126100762,1.7133236356834936,0.001151928599444901,26399.91854819127,0.9172832789179902,9.355749884491865e-6,96.92502711653587,5.499999736745185e8,21.2439903391383,4.5225959627569505,1.200000010028345e6,0.0,79999.98625985127,26399.999793854524,0.0001844240185413199,2.379675666248179e-16,0.013638459470837043,3.680960552375591e-9,47999.99968234232,0.00030872891452380513,2.7786382039807195e-10,3.224967594472482e-10,2.9868767637122843e-10,400000.0,3.631990552100562e-15,1.4657860100838693e-12,2.0605969785362532e-7,9.89205825549163e-6,2.280069456374878e-19
1.5,3582.7349835075015,5.498707042507206e6,943.176045240521,768.0283156588491,2.499757458359293e6,268.7220906133646,12798.600250882822,4.315124608112423,0.00857940190681245,26399.793776467646,2.269741584101098,3.182058288958587e-5,228.0958980179046,5.499999274964552e8,54.99836472063974,14.832371587358066,1.200000024971569e6,0.002245389448580304,79999.91221484765,26399.99778632261,0.001974129847461678,1.59764151464747e-6,0.08756832213731199,5.243584718064116e-7,47999.996924925465,0.0029459424708601187,4.009993063403348e-9,4.641762789845802e-9,4.2934081853466255e-9,400000.0,3.456160310237135e-13,4.5555962058818814e-11,1.444322743752695e-6,4.276202349450398e-5,3.2598263406947256e-9
2.0,7715.335983352906,5.497254560701089e6,2006.0219378621653,1640.7619493431685,2.4994783340149047e6,572.2449294549406,12796.811892851214,9.7952659767161,0.029572276124330398,26399.530269048922,5.0964615688218196,8.376164503658812e-5,534.6440503340145,5.499998187506238e8,133.0263600191299,39.493225059839844,1.2000000300523979e6,0.03469600594375456,79999.70959683256,26399.988223261746,0.010470221527757778,0.00042701839658043997,0.33815485831595005,8.58841346579502e-6,47999.98446591427,0.014680693598715266,2.6445797144821917e-8,3.053308122871989e-8,2.8205459122512007e-8,400000.0,1.3414374390785097e-11,6.466308217177306e-10,5.814224759682844e-6,0.00012996561372744328,1.9058892832591402e-7
2.5,16526.684626329356,5.494130472485226e6,4294.250166067062,3506.8644544253793,2.4988805230215318e6,1223.3067281036028,12792.994033497282,21.48264452943557,0.0786559204761713,26398.96760796815,11.110020197123106,0.00019800201749929088,1225.9459274301307,5.499995670472292e8,311.83419622445325,97.04031077135588,1.2000000368155641e6,0.10914015264074745,79999.22847048446,26399.95573377782,0.039245824937275256,0.0034275414897722554,1.0281489837993332,6.071748537795761e-5,47999.94333905808,0.052899182135960364,1.1634861156009009e-7,1.3400402462237016e-7,1.236400310030047e-7,399999.99999999965,3.2334809770571463e-10,6.118978387813248e-9,1.8089583667969664e-5,0.0003411560877906394,8.654599959805664e-7
3.0,35361.65224500994,5.487449571292894e6,9184.370853328517,7500.552554669107,2.497606008589268e6,2611.870870131749,12784.842236330185,46.42561221133871,0.18730969594291252,26397.765704751077,23.935529663294528,0.0004449964324028867,2760.83142130365,5.499989961126614e8,714.244597487185,228.7644506796056,1.200000047403833e6,0.27755649744916505,79998.06218452948,26399.863046488725,0.12112857356037078,0.013261350369831741,2.755768678204042,0.0002792472630123084,47999.82794512991,0.15896778232394082,4.0408485843829344e-7,4.643781779411153e-7,4.279989987710003e-7,399999.9999999943,5.778515227675012e-9,4.510991204095028e-8,4.9133060866081955e-5,0.0008342930566423608,2.4944716971446454e-6
3.5,75624.67872034994,5.473192980542705e6,19614.004520878098,16032.860031680384,2.49490160822837e6,5559.32587758295,12767.486673471803,99.516021002405,0.4230161692305098,26395.204417385,51.24311391837714,0.000974876040743198,6138.4734805563785,5.499977201803333e8,1608.1263620182838,525.365621465057,1.2000000498730068e6,0.6680474762602305,79995.31902141466,26399.623271114182,0.3325344029793222,0.039085161707097714,6.870042907397594,0.0010001537770662067,47999.532349361434,0.4284000499435934,1.2102459011188375e-6,1.3881443513921717e-6,1.2781898830010187e-6,399999.9999999151,8.534526418447814e-8,2.850887361631746e-7,0.00012346591289879184,0.0019604207470185374,6.292422804186661e-6
4.0,161569.6408568285,5.442877286157968e6,41773.71623586147,34216.06795927002,2.4892177563113538e6,11757.918790241181,12730.759966089687,211.83485992189216,0.9294218713339327,26389.773683425447,109.09626358868766,0.0021055172581245407,13520.596754598022,5.499948990592308e8,3575.4872965678437,1184.9064118180695,1.2000000155554288e6,1.5591008426369277,79989.0451582674,26399.038339574076,0.8475230903237978,0.10189216519713323,16.374220445468186,0.0030626018598687546,47998.81560809248,1.07761420006821,3.289296291433565e-6,3.766612549263815e-6,3.4654855474890877e-6,399999.9999988892,1.1152395002655902e-6,1.6348756917036466e-6,0.0002957694379736356,0.004491036428274642,1.5046292647371849e-5
4.5,344439.96786408534,5.378895562248744e6,88462.66569165344,72771.2421679752,2.4775074258670793e6,24544.582953252917,12654.014687096493,446.45313806808775,2.0101011454334046,26378.37820301402,230.3349409684485,0.0045018115658285495,29558.92378353887,5.499887124107809e8,7874.539612736703,2637.689272305032,1.1999998743749151e6,3.5582543666308095,79974.96354495858,26397.664168672494,2.056312888434816,0.24904138213741464,37.880260607284676,0.0084601969738659,47997.13836069704,2.589877530443741,8.369734468909286e-6,9.571210839628996e-6,8.800192682670331e-6,399999.9999866272,1.3426740028889845e-5,8.788680591698722e-6,0.0006866038310194675,0.010110082000621244,3.489572186040626e-5
