t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,16000.0,0.0,0.0,33000.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,100000.0,33000.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082439807223,5.49968966869859e6,255.72405613394432,111.56592096861193,2.4999501838992215e6,60.623283561019285,15999.820719233321,0.5594004141785517,1.377679461774098e-20,32999.97358796379,0.3067173701083077,1.5944980488005184e-6,41.26542706448909,5.499999934859209e8,5.801705664438499,0.6736609233804256,1.2000000025295597e6,0.0,99999.99932496797,32999.99999529231,4.694244439859176e-6,1.4006854391265828e-19,0.0006725882837499925,7.299407219695114e-53,59999.9999904578,9.409232191077694e-6,4.1468614460795565e-12,4.825670891047737e-12,4.475272924707222e-12,400000.0,6.150390724902327e-18,9.628142162506406e-15,7.949821077483698e-9,8.016282274334811e-7,2.1070169810525678e-22
1.0,1663.5766437998911,5.4993695643317355e6,468.3433161852173,346.4919871670257,2.4998867838333254e6,129.03736276440162,15999.30890764194,2.1416544946341074,0.0014399107484632534,32999.89818524143,1.14660407110954,1.1694687240970607e-5,96.92502096156531,5.499999736745183e8,21.243989809934092,4.522595913991358,1.2000000100283457e6,0.0,99999.98282481423,32999.999677897715,0.0003201805865297227,5.738029403163367e-16,0.017048074288963933,6.3905565140022165e-9,59999.99950365988,0.0004823889246662434,4.3416221709304496e-10,5.039011839861992e-10,4.666994918732064e-10,400000.0,7.0061540300258775e-15,2.5447672507026664e-12,2.575746217017265e-7,9.892058200596003e-6,4.398281853299317e-19
1.5,3582.731125968177,5.498707043101786e6,943.1755286811117,768.027864530829,2.4997574584510275e6,268.72197660247144,15998.250313861234,5.393904956466203,0.010724252280045636,32999.742220622546,2.8371765402229085,3.977572615967464e-5,228.09582015964028,5.499999274964638e8,54.998356344415214,14.83237057470905,1.2000000272591112e6,0.0,99999.88930910054,32999.996541131535,0.003427306102585122,9.789485327985704e-14,0.10946040063416194,9.103445670629879e-7,59999.99519519617,0.0046030348394763675,6.265613946151017e-9,7.2527541090359166e-9,6.708450057933329e-9,400000.0,6.666827890561127e-13,7.908178108166722e-11,1.8053903350576655e-6,4.276202198694932e-5,5.451091832578385e-17
2.0,7715.307732725833,5.497254565610935e6,2006.0177499877498,1640.7577477218713,2.4994783347862223e6,572.2439814056878,15996.014868574097,12.244074654727074,0.03696534292962034,32999.41283668102,6.370572703877351,0.00010470202805737867,534.6433921202223,5.499998187507168e8,133.02627898748952,39.49321345727915,1.2000000579892215e6,0.009274198911051874,99999.58003104146,32999.98160582597,0.018170470435036428,3.2496810810143176e-5,0.42269345875651576,1.4910438652566071e-5,59999.97572797085,0.022938576735978003,4.1321551472116706e-8,4.770793180437741e-8,4.407102282838943e-8,400000.0,2.5641976672594238e-11,1.1066255062223677e-9,7.260542119169411e-6,0.00012996559357544024,2.600764643227258e-8
2.5,16526.515041613253,5.4941305044054e6,4294.223316572893,3506.8366748773983,2.4988805281002973e6,1223.3005392599698,15991.242560208468,26.85324863242203,0.09831987485700568,32998.709512662965,13.887494305783376,0.00024750228955067383,1225.9415435183548,5.499995670479244e8,311.83360383080344,97.04021367071547,1.2000000979064258e6,0.057100728326559706,99998.83922643773,32999.93093337462,0.06803620845024558,0.0012690367292998322,1.2851846718378774,0.0001053974516455241,59999.91146715505,0.08265487058634706,1.817945881907864e-7,2.0938115251090538e-7,1.931874226390981e-7,399999.9999999995,6.064598734704995e-10,1.0285027538181954e-8,2.25610046748541e-5,0.0003411559010232142,3.6568605392834945e-7
3.0,35360.74377107928,5.487449751020896e6,9184.221161183237,7500.3968400711465,2.497606037359617e6,2611.8360212025304,15981.052907084959,58.0316682979282,0.23413690746503577,32997.20714740868,29.9192243574962,0.0005562439979197903,2760.8061328226913,5.499989961169914e8,714.2409589095521,228.76378272037013,1.2000001856530963e6,0.16200964453324695,99997.10471754949,32999.78647205521,0.20983420160297278,0.007473444287816433,3.444699521245843,0.0004843957616612927,59999.731163816665,0.2483862867995476,6.313813787466238e-7,7.255895004708769e-7,6.687471387491021e-7,399999.99999998935,1.074902462585461e-8,7.543571003630552e-8,6.125548405790324e-5,0.0008342916771871339,1.3538392734739917e-6
3.5,75620.1254972038,5.473193908024548e6,19613.237214172437,16032.061601905792,2.4949017562511475e6,5559.147167926067,15959.358946285483,124.39314969937179,0.5287687972438516,32994.005610989945,64.05287847637364,0.0012185861589040382,6138.3397972435205,5.499977202044318e8,1608.1063139355135,525.3615740631058,1.2000003686377874e6,0.40296706309366365,99993.06021987634,32999.412805844564,0.5758813564468704,0.025958876167180775,8.587485618913849,0.0017335453209270239,59999.26929421444,0.6693692152092574,1.8910001273159856e-6,2.168965043542785e-6,1.9971619843331354e-6,399999.999999842,1.5855753234311632e-7,4.7672070843198243e-7,0.00015392199237631934,0.001960411975642834,3.6889744018479087e-6
4.0,161547.72785759828,5.442881813431281e6,41769.98823358774,34212.18169684933,2.4892184663867964e6,11757.061690106038,15913.45297165207,264.7842233918098,1.1617691743860747,32987.217550560315,136.3652735667967,0.002631850024736374,13519.927463028447,5.499948991841127e8,3575.3841436460234,1184.8838599773803,1.2000007389072222e6,0.9598278907811865,99983.83456916534,32998.501220678314,1.4675726823822417,0.07303264589443849,20.467398455617214,0.005305618783816518,59998.14938144222,1.6837373338588828,5.139467758347132e-6,5.885265505097523e-6,5.414759646874706e-6,399999.99999793485,2.073169918122692e-6,2.736117503076254e-6,0.00036872973627822766,0.004490986086817001,9.119136580155489e-6
4.5,344337.3161957631,5.37891678010066e6,88445.25754300276,72752.95943840944,2.47751061319497e6,24540.719979395595,15817.532395799366,558.0228957680713,2.512583688394783,32972.97484389006,287.8950533635779,0.005627037754282726,29555.690051021782,5.499887130286095e8,7874.031845701925,2637.570583018182,1.2000014906759958e6,2.2234201699286453,99963.16581448149,32996.3594917157,3.5605335077143137,0.18599078734312458,47.3483408389679,0.014652407654834245,59995.5286671708,4.0464910350031085,1.3077377423483538e-5,1.4954633118907428e-5,1.3749946634668065e-5,399999.99997512234,2.4977752839804367e-5,1.4719523758484433e-5,0.0008559650312607234,0.010109814034852593,2.157715310060111e-5
