t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,70000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082702785296,5.499689668696527e6,255.72405806625233,111.56592123502462,2.499950183898924e6,60.62328394598421,11199.874503463065,0.39158029073368916,-2.4703018452265195e-20,23099.981511574646,0.2147021595257836,1.1161486351483645e-6,41.26542732163507,5.499999934859213e8,5.801705677091871,0.6736609240121076,1.2000000025295592e6,0.0,69999.99952747759,23099.999997693245,1.8401438208046964e-6,3.0747846895632774e-20,0.0004708117987480705,1.1529153879345762e-50,41999.99999532434,4.61052377616974e-6,2.031962109249709e-12,2.3645787373946432e-12,2.1928837338314023e-12,400000.0,1.928762546467498e-18,3.774231745110373e-15,5.564874755337308e-9,8.016282278180748e-7,6.607605291337019e-23
1.0,1663.5772078388852,5.499369564259512e6,468.34338059425767,346.492018334833,2.4998867838224657e6,129.03737646793843,11199.516235332569,1.49915819871275,0.0010079375248094708,23099.928729666557,0.8026228786915779,8.186281189056649e-6,96.92503019382791,5.49999973674518e8,21.243990603730538,4.522595987139195,1.200000010028345e6,0.0,69999.98797736989,23099.99984216991,0.00012551079063446234,1.2596123036395607e-16,0.0119336520543378,2.5050981538066072e-9,41999.99975679336,0.0002363705762302444,2.1273948805066023e-10,2.4691158210113304e-10,2.2868275282369595e-10,400000.0,2.1971301786977593e-15,9.975488374885914e-13,1.8030223583730538e-7,9.892058282939992e-6,1.3793013195215172e-19
1.5,3582.736912278948,5.498707042209918e6,943.1763035203933,768.0285412229756,2.499757458313425e6,268.72214761884584,11198.775219432277,3.7757343133845085,0.007506976704675446,23099.819554395923,1.9860240400547404,2.7843010886695646e-5,228.09593693763898,5.499999274964508e8,54.998368908025526,14.832372093387788,1.2000000139825314e6,0.012633188580185707,69999.93166481225,23099.998304907163,0.0013437025561799487,5.433525377551775e-5,0.07662228510433325,3.568550714913781e-7,41999.997645646836,0.0022554872916289537,3.0701509996958863e-9,3.553849706272757e-9,3.2871407070349e-9,400000.0,2.1029789132059378e-13,3.136731672344668e-11,1.2644102322311828e-6,4.276202424802579e-5,4.60465768250741e-8
2.0,7715.350108709029,5.497254558246159e6,2006.02403180378,1640.7640501581552,2.4994783336292445e6,572.2454034804861,11197.210405366284,8.57086046528837,0.025875742387813903,23099.588985288374,4.459405362723219,7.329144929044166e-5,534.6443792490385,5.499998187505774e8,133.02640051710122,39.49323084497571,1.2000000035868525e6,0.05760630266711086,69999.79197938516,23099.990970975832,0.007135484986752858,0.00109145338909245,0.29588560651861934,5.8451402355229654e-6,41999.98810672482,0.01123990911730522,2.024756628204744e-8,2.337689361415827e-8,2.1594807694985296e-8,400000.0,8.462452260459065e-12,4.625984582361868e-10,5.099108485757311e-6,0.00012996562378454375,3.988700664082392e-7
2.5,16526.769419411583,5.494130456525044e6,4294.263590896972,3506.8783442902272,2.4988805204821336e6,1223.3098225430772,11193.869772892192,18.797333923609955,0.06882393942502124,23099.09665602617,9.721278501740327,0.00017325184662527021,1225.9481168760897,5.499995670468819e8,311.83449215639826,97.04035898146414,1.199999980318596e6,0.15634384067148085,69999.43356716838,23099.966029868305,0.026771410309603054,0.005514788526720348,0.8996312621185025,4.135353564154838e-5,41999.95661900517,0.04050097230723702,8.907945050005846e-8,1.0259688319797168e-7,9.466194670047023e-8,399999.9999999998,2.070509974335603e-10,4.412465769474914e-9,1.5872425567759922e-5,0.0003411561806877633,1.3416570377342424e-6
3.0,35362.10649178807,5.487449481427539e6,9184.445700587845,7500.630413317966,2.4976059942038897e6,2611.8882948504815,11186.736917703256,40.62253212428145,0.1638960583124988,23098.04498589271,20.94365415859435,0.0003893724182604088,2760.8440408403108,5.499989961104997e8,714.2464139085582,228.764780407151,1.199999918619377e6,0.3845174456669093,69998.539501237,23099.894871868106,0.08265050101134101,0.018089793960364243,2.4113031038346593,0.00019037890449224534,41999.868270650826,0.12170997719744524,3.0937786557006405e-7,3.5554000009699863e-7,3.276871564380777e-7,399999.9999999964,3.6953744413440007e-9,3.241381566089762e-8,4.310733828609586e-5,0.000834293739405857,3.5546784639186495e-6
3.5,75626.95544820835,5.473192516785158e6,19614.388188721838,16033.25926330477,2.494901534214531e6,5559.415235478494,11171.550627727003,87.07717518589529,0.3701396430829081,23095.803833970636,44.83807955937578,0.0008530196479075651,6138.540123491901,5.49997720168313e8,1608.1363611765723,525.3676064855953,1.1999997575551446e6,0.9101200424465686,69996.41578790589,23099.71081677213,0.22690082582484772,0.04960463569263903,6.0113180658449465,0.0006822459697293544,41999.64195570182,0.32799546879409225,9.265972213695629e-7,1.062801140887473e-6,9.786170133804595e-7,399999.9999999459,5.4357736961843325e-8,2.04007152373137e-7,0.00010830990445151768,0.001960425063616631,8.690017315118172e-6
4.0,161580.59862667377,5.442875022336756e6,41775.58039716912,34218.01127762857,2.489217401247649e6,11758.347373004244,11139.413915360825,185.3587756275447,0.8132469951347057,23091.05181679184,95.46100030370233,0.0018423438932017864,13520.93002246822,5.49994898997005e8,3575.538689565558,1184.917400251343,1.1999993621469752e6,2.0986107452042146,69991.52884187394,23099.261871593582,0.5782611843864465,0.12464973318624656,14.32760398126595,0.002089551535734677,41999.09320310593,0.825057976813693,2.518383736326301e-6,2.883831500906402e-6,2.653279705529608e-6,399999.9999992948,7.079734430062e-7,1.1664215440840426e-6,0.00025944030608547283,0.004491061063329337,2.043028916338271e-5
4.5,344491.30684118636,5.378884951421281e6,88471.37141051625,72780.38549063052,2.477505831961059e6,24546.514749228438,11072.257937756565,390.661731839211,1.758853462960797,23081.08019601536,201.5513422541501,0.003939164472099184,29560.532107764186,5.499887121032844e8,7874.792299206321,2637.7467490523154,1.1999984302125524e6,4.747792366660468,69980.51042473449,23098.20728643597,1.4029340003016708,0.2981902992316409,33.146047343432535,0.00577240920669617,41997.80907060734,1.9829267710486849,6.408168745955801e-6,7.32806302524207e-6,6.737744220768742e-6,399999.99999153015,8.504078497670024e-6,6.257766771774267e-6,0.0006022408558680108,0.010110212535993755,4.6849145035542886e-5
