t,v,ep,epe,epi,idc,mdc,tn,ctl,ctl_ua,bn,p,ab,v_l,ep_l,epe_l,epi_l,idc_l,mdc_l,cd4n_l,cd8n_l,ctl_l,th1_l,tfh_l,ctl_site_l,bn_l,p_l,abg_l,aba_l,abm_l,mr_l,ma_l,igamma_l,i2_l,i6_l,i12_l
0.0,1000.0,5.5e6,0.0,0.0,2.5e6,0.0,11200.0,0.0,0.0,23100.0,0.0,0.0,0.0,5.5e8,0.0,0.0,1.2e6,0.0,70000.0,23100.0,0.0,0.0,0.0,0.0,42000.0,0.0,0.0,0.0,0.0,400000.0,0.0,0.0,0.0,0.0,0.0
0.5,931.0082702785298,5.499689668696526e6,255.72405806625235,111.56592123502466,2.4999501838989244e6,60.623283945984234,11199.874503463063,0.39158029073368933,4.38733770107209e-20,23099.981511574646,0.21470215952578373,1.116148635148365e-6,41.265427321635094,5.499999934859213e8,5.8017056770918725,0.6736609240121079,1.200000002529559e6,0.0,69999.99952747759,23099.999997693238,1.840143820804697e-6,4.9965251205403667e-20,0.00047081179874807096,-7.019420546952232e-47,41999.99999532433,4.610523776169746e-6,2.031962109249712e-12,2.3645787373946456e-12,2.192883733831404e-12,400000.0,3.1342391380096955e-18,3.774231745110388e-15,5.564874755337311e-9,8.016282278180754e-7,1.0737358598422664e-22
1.0,1663.5772078388911,5.499369564259517e6,468.3433805942593,346.4920183348344,2.499886783822465e6,129.0373764679389,11199.51623533257,1.4991581987127576,0.0010079375248094788,23099.928729666564,0.8026228786915824,8.186281189056705e-6,96.92503019382832,5.499999736745179e8,21.24399060373065,4.522595987139224,1.2000000064818591e6,0.0034595041676198073,69999.98920989339,23099.999842164263,0.00012551530211161863,3.811819676738369e-6,0.011933652097254988,2.5050981538067085e-9,41999.99975679339,0.0002363705764095009,2.1273948808422614e-10,2.469115821402509e-10,2.2868275285999987e-10,400000.0,3.5782116754870915e-15,1.0038587853466514e-12,1.8033260459625624e-7,9.892058282940463e-6,6.621785632163563e-9
1.5,3582.736912278947,5.498707042209922e6,943.1763035203934,768.0285412229754,2.4997574583134237e6,268.72214761884584,11198.77521943227,3.7757343133845063,0.007506976704675461,23099.81955439594,1.9860240400547426,2.784301088669567e-5,228.09593693763884,5.4999992749645e8,54.998368908025206,14.832372093387761,1.1999999886934613e6,0.03542283728201543,69999.96746066656,23099.998300616557,0.0013471218769553616,0.00043607155069544005,0.0766223023525878,3.56857788677015e-7,41999.997645649266,0.002255487521927685,3.0701511402777907e-9,3.5538498697021804e-9,3.28714085852149e-9,400000.0,3.7591832113367125e-13,3.5281249579970103e-11,1.270101177029189e-6,4.27620242480842e-5,2.0595462534014637e-7
2.0,7715.350108709036,5.497254558246163e6,2006.0240318037831,1640.764050158157,2.499478333629243e6,572.2454034804864,11197.210405366275,8.570860465288371,0.02587574238781373,23099.588985288392,4.459405362723229,7.329144929044182e-5,534.6443792489611,5.499998187505765e8,133.0264005170837,39.493230844871356,1.1999999456852528e6,0.1069915882498243,69999.9155212462,23099.990921405584,0.007174821686365118,0.003115894239049565,0.2958858831384414,5.853113004177262e-6,41999.98810674898,0.011239914988964199,2.0247572196490888e-8,2.3376900473429137e-8,2.1594814045463973e-8,400000.0,1.572613477702704e-11,5.282388509849723e-10,5.133509486712706e-6,0.0001299656237875952,8.650451031706558e-7
2.5,16526.76941941351,5.494130456525045e6,4294.263590897475,3506.878344290636,2.4988805204821313e6,1223.3098225432186,11193.869772892183,18.797333923612168,0.06882393942503051,23099.09665602619,9.721278501741482,0.00017325184662529233,1225.948116865316,5.499995670468812e8,311.8344921554188,97.04035897249425,1.1999998450230795e6,0.26984240909563745,69999.75281455195,23099.96581055071,0.02694487519267048,0.011590742494096282,0.8996334853561897,4.152523553222921e-5,41999.956619176424,0.04050103086332692,8.907952724677456e-8,1.0259697202713742e-7,9.466202885922629e-8,399999.99999999965,3.7771503767015574e-10,4.919709121448345e-9,1.5979581872175633e-5,0.00034115618076127147,2.441534559390301e-6
3.0,35362.10649178696,5.487449481427542e6,9184.44570058756,7500.63041331773,2.497605994203888e6,2611.888294850397,11186.736917703249,40.622532124280106,0.16389605831249274,23098.044985892728,20.943654158593684,0.0003893724182603961,2760.8440405486767,5.49998996110499e8,714.2464138783743,228.76478022745974,1.1999996035585287e6,0.6471286576617373,69999.31212464723,23099.89418832231,0.08319046969874823,0.0335964183828502,2.41131729967211,0.00019147953743924996,41999.86827175289,0.12171039199626861,3.093784917876764e-7,3.5554072383922616e-7,3.276878253479632e-7,399999.9999999935,6.607501950146883e-9,3.5476339733795526e-8,4.3384256359004103e-5,0.000834293740682444,6.113922081567711e-6
3.5,75626.95544820908,5.473192516785159e6,19614.38818872203,16033.259263304926,2.4949015342145283e6,5559.415235478541,11171.550627726996,87.07717518589598,0.3701396430829109,23095.803833970655,44.8380795593762,0.0008530196479075734,6138.5401197392775,5.499977201683127e8,1608.1363607205863,525.3676045540253,1.1999990387958044e6,1.5064164670351377,69998.22595283196,23099.708992732114,0.228345547116744,0.08686493599582205,6.011399705654021,0.0006865701717072216,41999.64196219257,0.32799799213320596,9.266013426519439e-7,1.0628058993004332e-6,9.786214091489322e-7,399999.9999999048,9.592628507979922e-8,2.2078219805262052e-7,0.00010897962156852606,0.001960425083389522,1.4565066311173629e-5
4.0,161580.59862667494,5.442875022336758e6,41775.580397169426,34218.01127762881,2.489217401247646e6,11758.347373004312,11139.413915360814,185.35877562754567,0.8132469951347105,23091.051816791856,95.46100030370297,0.0018423438932017996,13520.929989441853,5.499948989970094e8,3575.5386849254237,1184.917385117828,1.1999977494784694e6,3.4316092154171987,69995.67166460022,23099.257391282117,0.5818456737625183,0.21132504609358144,14.328044971125017,0.002102941646792979,41999.09323870853,0.8250721003056951,2.518407938445219e-6,2.8838594262510055e-6,2.6533054943535718e-6,399999.99999876815,1.2392945040132e-6,1.2536899870501248e-6,0.0002610073998355048,0.0044910613399936315,3.369662229681443e-5
4.5,344491.3068411885,5.378884951421281e6,88471.3714105168,72780.38549063097,2.477505831961056e6,24546.51474922855,11072.257937756553,390.6617318392124,1.7588534629608028,23081.080196015373,201.55134225415114,0.003939164472099206,29560.53187373772,5.499887121033276e8,7874.792261272814,2637.7466497319374,1.1999948542954067e6,7.695374165624387,69989.83000874094,23098.196898094084,1.4114593833548787,0.4954954015466363,33.14832987586011,0.005808871542190094,41997.80925634627,1.983001705600953,6.408301369025874e-6,7.328215981727417e-6,6.737885443519433e-6,399999.9999852798,1.4809784497043485e-5,6.696414387439702e-6,0.0006058372720830056,0.010110216049420683,7.640962272094082e-5
